 42826360  84.87  63.77  -1.03 176.52   1209.73 111.26   345.7   184.2 93 
 42826370  82.11  98.33  -1.03 176.52   1211.69 145.93   325.5   441.6 93 
 42826488  42.33 131.96  -1.03 176.52   1761.23 180.07   150.8   298.7 93 
 42826500  39.83 132.35  -1.03 176.52   1851.01 180.38   141.0    81.0 93 
 42826564  29.86 133.61  -1.03 176.52   2369.27 181.12   453.0   133.6 93 
 42826578  28.22 133.79  -1.03 176.52   2486.06 181.19   419.0   402.6 93 
 42826622  24.01 134.23  -1.03 176.52   2873.20 181.32   233.4   319.0 93 
 42826638  22.76 134.37  -1.03 176.52   3023.43 181.31   271.8   121.1 93 
 42826650  21.90 134.45  -1.03 176.52   3131.39 181.31   339.8    12.7 93 
 42826686  19.63 134.67  -1.03 176.52   3450.30 181.32   305.6    80.0 93 
 42826770  15.74 135.03  -1.03 176.52   4225.97 181.32   291.7   209.2 93 
 42826854  13.07 135.28  -1.03 176.52   5030.32 181.29   284.0   228.0 93 
 42826926  11.39 135.43  -1.03 176.52   5718.65 181.23   287.0   206.0 93 
 42827050   9.28 135.64  -1.03 176.52   6939.58 191.62    91.0    47.8 93 
 42827108   8.51 135.69  -1.03 176.52   7477.09 192.15   401.8   372.3 93 
 42826076  23.98 318.64  -1.03 176.52   3219.12   1.73   302.6   375.1 93 
 42826112  26.96 318.94  -1.03 176.52   2708.87   2.27   283.4   188.5 93 
 41780950  84.52  73.19  -1.03 176.52   1206.29 120.70   341.9   236.0 93 
 41780930  85.07  53.33  -1.03 176.52   1208.48 100.79   349.6   133.1 93 
 41780920  85.09  42.33  -1.03 176.52   1208.33  89.77   353.1    80.2 93 
 41780910  84.93  31.67  -1.03 176.52   1206.72  79.09   356.5    28.3 93 
 41780960  84.04  81.31  -1.03 176.52   1207.19 128.85   338.0   288.0 93 
 41780970  83.47  88.08  -1.03 176.52   1209.05 135.64   334.0   339.5 93 
 41780980  82.82  93.69  -1.03 176.52   1210.48 141.27   329.6   390.4 93 
 41781000  81.37 102.18  -1.03 176.52   1216.11 149.81   320.7   491.9 93 
