Wavelength,Flux (Jy),Error (Jy)
0.7001744038768576,0.00015242856465016934,5.343202729286523e-06
0.7051795584041589,0.00013694097324063272,5.2926596431353055e-06
0.7101847129314602,0.0001369727579567024,4.953481975829736e-06
0.7151898674587616,0.0001440228210413931,4.118621195310098e-06
0.7201950219860629,0.00014713112797813698,3.7480487370483038e-06
0.7252001765133642,6.553198266807528e-05,4.275344746045894e-06
0.7302053310406655,2.8940867694431328e-05,3.143007482098117e-06
0.7352104855679669,5.167530156111085e-05,3.7334479853014726e-06
0.7402156400952682,0.00012900967838499106,3.6836522667064427e-06
0.7452207946225695,0.00013230423141625627,3.6442093536538037e-06
0.7502259491498708,0.00014095816912303657,3.5110932875550684e-06
0.7552311036771722,0.00013973443445364342,3.4855986472688796e-06
0.7602362582044735,0.00014728803646331298,3.995655312143813e-06
0.7652414127317748,0.00013585787942477906,3.282071141855269e-06
0.7702465672590761,0.00013902056169039695,3.3042349890256323e-06
0.7752517217863775,0.00015754956640048927,3.650512977455137e-06
0.7802568763136789,0.00014132733508381295,3.315626298429497e-06
0.7852620308409802,0.00013027958424867127,5.303444760265844e-06
0.7902671853682816,0.00013407657653292297,4.144709721648009e-06
0.7952723398955829,0.00015139538051590998,3.3755132030372185e-06
0.8002774944228842,0.0001570227561922904,3.6462119011199752e-06
0.8052826489501855,0.00015713317220458656,3.467325442598426e-06
0.8102878034774869,0.00015610048717384963,3.77429143083875e-06
0.8152929580047882,0.00015268276787020285,3.596170873118745e-06
0.8202981125320896,0.00014328226681586696,5.847814997313401e-06
0.8253032670593909,0.00014151188156715565,5.261371587937252e-06
0.8303084215866923,0.0001416049505013817,2.894803099398362e-06
0.8353135761139936,0.00013552551695170012,2.9252996925450516e-06
0.8403187306412949,0.0001381148364061055,3.3295245849843762e-06
0.8453238851685962,0.00013504910062316707,3.184805203047125e-06
0.8503290396958976,0.0001421856047443035,3.172054785091993e-06
0.8553341942231989,0.00014180189679015596,3.293828504516493e-06
0.8603393487505002,0.0001449709755715232,3.1907633264141675e-06
0.8653445032778015,0.0001416320914651156,3.1331942225331733e-06
0.8703496578051029,0.00014661342897871832,1.867767163249318e-06
0.8753548123324042,0.0001491293189388345,1.5796906792459462e-06
0.8803599668597055,0.0001478033520635734,2.2012487036393023e-06
0.8853651213870068,0.00014395965086214183,2.992698673597519e-06
0.8903702759143082,0.00014249947656831157,2.884708475260132e-06
0.8953754304416095,4.855479659509169e-05,3.0072007213863696e-06
0.9003805849689108,5.2105172710842024e-05,3.320328752573348e-06
0.9053857394962121,0.00014287706246074038,3.2299612959957502e-06
0.9103908940235135,0.00014955050207433968,3.3001519716467657e-06
0.9153960485508149,0.0001441773370919316,3.151297301078007e-06
0.9204012030781162,0.0001425790654718862,2.859299439183575e-06
0.9254063576054176,0.0001443493404351095,2.834396488348548e-06
0.9304115121327189,0.00015017157306139925,2.7547009197116404e-06
0.9354166666600202,0.00015208942723231387,2.7917529070056248e-06
0.9404218211873215,0.0001496637504345708,2.7904167315923604e-06
0.9454269757146229,0.00014870752607813373,2.9148596552797823e-06
0.9504321302419243,0.00015650171180868803,2.9600449343330095e-06
0.9554372847692256,0.00015893918139420164,3.342529182835306e-06
0.960442439296527,0.00014748911880672024,3.3236005801763898e-06
0.9654475938238283,0.00015070317795261927,3.120093628549428e-06
0.9704527483511296,0.00014862912260820747,3.1996055594199545e-06
0.9754579028784309,0.00014662295979486382,2.927121386429406e-06
0.9804630574057323,0.00014974778026341233,2.963667886178056e-06
0.9854682119330336,0.00014853739100334734,2.856770878117167e-06
0.9904733664603349,0.00014909510099216179,2.6323733895039125e-06
0.9954785209876362,0.00015152671474833858,2.748303375399764e-06
1.0004836755149376,0.00015087134490174856,3.0529602184207434e-06
1.0054888300422389,0.0001495673632103623,2.9928691610417973e-06
1.0104939845695402,0.00014738809339145972,2.7790156084369426e-06
1.0154991390968415,0.00014857806803720793,2.651873779075748e-06
1.0205042936241429,0.00014808026286840462,2.536929643975787e-06
1.0255094481514442,0.00015048425612627591,2.520087324925336e-06
1.0305146026787455,0.00015180681687232135,2.670815340195688e-06
1.0355197572060468,0.00015406224768571233,2.7845060244833386e-06
1.0405249117333482,0.0001541925865758943,2.6955715086900626e-06
1.0455300662606497,0.00015251368662050775,2.5965945525738847e-06
1.050535220787951,0.00014950549625023863,2.3734691567567025e-06
1.0555403753152524,0.00015041188294382307,2.3233477976747785e-06
1.0605455298425537,0.00015046510729390438,2.314926985757399e-06
1.065550684369855,0.00014958413044648385,2.2364531196628786e-06
1.0705558388971563,0.00014847541374793358,2.2470049457853167e-06
1.0755609934244577,0.00014897463718461094,2.2659299223043602e-06
1.080566147951759,0.00014931930549840074,2.3498236967006893e-06
1.0855713024790603,0.00014628695096921885,2.4894854381043426e-06
1.0905764570063616,0.00014560431011230898,2.423029808667607e-06
1.095581611533663,0.00014761721494882377,2.495062321911713e-06
1.1005867660609643,0.0001466622061742805,2.751528070700391e-06
1.1055919205882656,0.0001459662507748923,2.7752032989101128e-06
1.110597075115567,0.0001450231091111289,5.851086058738303e-06
1.1156022296428683,0.00014802611952519985,6.815975589219065e-06
1.1206073841701696,0.00013319575076968155,1.5849584170054784e-05
1.125612538697471,0.00014889481623610253,2.9376381899982114e-06
1.1306176932247722,0.00015396609551488483,2.6388183920691694e-06
1.1356228477520736,0.00017039018397622117,2.258511494972525e-06
1.1406280022793749,0.0001700618250592344,2.032428602248154e-06
1.1456331568066762,0.00017384405589135557,1.8850371088533458e-06
1.1506383113339775,0.00016244773940296133,2.027739114163255e-06
1.1556434658612789,0.0001618210591283104,2.0719338949970128e-06
1.1606486203885802,0.00016138899282049289,2.0111436382073725e-06
1.1656537749158815,0.00015935660894051773,1.912446731516532e-06
1.1706589294431828,0.0001629673337381509,1.8304322869592327e-06
1.1756640839704842,0.00016188961088215603,1.7832023371313846e-06
1.1806692384977855,0.0001115125194060149,9.19380715513255e-07
1.1856743930250868,0.00011908142403402533,8.388200552082322e-07
1.1906795475523881,0.00016030431305244562,7.95575603475511e-07
1.1956847020796895,0.0002029441162229832,1.385112882265767e-06
1.2006898566069908,0.00018150302329491825,1.680219645819712e-06
1.2056950111342921,0.00015525377111633403,1.823430674555959e-06
1.2107001656615934,0.00015553722368733834,1.8963688076293662e-06
1.2157053201888948,0.00015395830592489075,1.7876903554728059e-06
1.2207104747161963,0.0001416506402682275,1.8687972791570672e-06
1.2257156292434976,0.00014229447542666175,1.8803156814548673e-06
1.230720783770799,0.00014276408578392296,1.9350629163412527e-06
1.2357259382981003,0.0001431218207904921,1.8386872029389996e-06
1.2407310928254016,0.00014347612228563734,1.814086677001621e-06
1.245736247352703,0.00014332517085794436,1.8018368817140307e-06
1.2507414018800043,0.0001425903223344656,1.726858041276389e-06
1.2557465564073056,0.0001406708581657911,1.6914492327981116e-06
1.260751710934607,0.0001407920843661767,1.6762292542474964e-06
1.2657568654619082,0.00014129372104335167,1.8413029854321077e-06
1.2707620199892096,0.00013921335480480705,1.852450457595235e-06
1.275767174516511,0.00014243244327826702,1.8601287459330557e-06
1.2807723290438122,0.0001416551612544457,1.7690404844071993e-06
1.2857774835711138,0.00014196366664798876,1.5484375444581717e-06
1.290782638098415,0.0001390068669441417,1.6772978959060636e-06
1.2957877926257164,0.00013719324544656102,1.7956259476516254e-06
