asteroid_number,prov_desig,comet_desig,mpc_packed_name,absolute_mag,slope_param,mean_jd,n_w1,n_w2,n_w3,n_w4,fit_code,diameter,diameter_err,v_albedo,v_albedo_err,ir_albedo,ir_albedo_err,beaming_param,beaming_param_err,stacked_flag,reference,notes,reference2,type,cntr
1449,,,01449,12.1000,0.1500,2457158.3114304,8,8,0,0,DV--,9.1850,1.7560,0.3430,0.2110,0.5140,0.2440,0.9500,0.2000,,Nug16,,NUGENTETAL2016,mainbelt or mars crossers,165850
1449,,,01449,12.0000,0.1500,2455225.4228420,11,11,11,12,DVBI,9.2630,0.0980,0.3260,0.0580,0.5090,0.0260,0.8850,0.0300,,Mas14,,MASIEROETAL2014,mainbelt,4195
1449,,,01449,12.1000,0.1500,2455543.9574115,14,14,0,0,DV-I,9.4640,0.3260,0.2850,0.0380,0.4980,0.0860,1.0000,0.2000,,Mas12,,MASIEROETAL2012,mainbelt,143299
