epoch,object,sep,sep_err,pa,pa_err
55646,1,2479,16,327.94,0.39
55703,1,2483,8,327.45,0.19
55785,1,2481,33,326.84,0.94
55985,1,2483,15,326.46,0.36
56029,1,2487,8,326.54,0.18
56072,1,2499,26,326.14,0.61
57147,1,2491,3,323.46,0.07
57176,1,2496,3,323.5,0.07
57178,1,2497,4,323.6,0.1
57179,1,2495,5,323.5,0.14
57179,1,2501,3,323.49,0.07
57180,1,2499,6,323.4,0.14
57476,1,2495,2,322.48,0.05
57794,1,2493,3,321.74,0.08
