
> cssearth@0.1.0 test:browser /Users/ekrof/fed/cssEarth-pluto-small-moons
> node site/test/dom-cleanliness-browser.mjs

PASS doris DPR 1: 71345 nodes; retained interaction
PASS hermione DPR 1: 71357 nodes; retained interaction
PASS diotima DPR 1: 71349 nodes; retained interaction
PASS herculina DPR 1: 71353 nodes; retained interaction
PASS nausikaa DPR 1: 71313 nodes; retained interaction
PASS astraea DPR 1: 71345 nodes; retained interaction
PASS irene DPR 1: 71345 nodes; retained interaction
PASS nysa DPR 1: 71337 nodes; retained interaction
PASS sappho DPR 1: 71337 nodes; retained interaction
PASS betulia DPR 1: 71345 nodes; retained interaction
PASS castalia DPR 1: 71337 nodes; retained interaction
PASS asteroid-1998-wt24 DPR 1: 71337 nodes; retained interaction
PASS asteroid-1994-cc DPR 1: 71337 nodes; retained interaction
PASS fides DPR 1: 71313 nodes; retained interaction
PASS penelope DPR 1: 71313 nodes; retained interaction
PASS alphonsina DPR 1: 71313 nodes; retained interaction
PASS angelina DPR 1: 71313 nodes; retained interaction
PASS ganymed DPR 1: 71373 nodes; retained interaction
PASS moshup DPR 1: 71313 nodes; retained interaction
PASS cybele DPR 1: 71365 nodes; retained interaction
PASS aurora DPR 1: 71345 nodes; retained interaction
PASS palma DPR 1: 71313 nodes; retained interaction
PASS thule DPR 1: 71313 nodes; retained interaction
PASS hektor DPR 1: 71313 nodes; retained interaction
PASS hekate DPR 1: 71313 nodes; retained interaction
PASS phaethon DPR 1: 71313 nodes; retained interaction
PASS harmonia DPR 1: 71349 nodes; retained interaction
PASS panopaea DPR 1: 71313 nodes; retained interaction
PASS desdemona-666 DPR 1: 71313 nodes; retained interaction
PASS asteroid-1950-da DPR 1: 71357 nodes; retained interaction
PASS apophis DPR 1: 71329 nodes; retained interaction
PASS donaldjohanson DPR 1: 71313 nodes; retained interaction
PASS geographos DPR 1: 71325 nodes; retained interaction
PASS bacchus DPR 1: 71037 nodes; retained interaction
PASS mithra DPR 1: 71325 nodes; retained interaction
PASS nereus DPR 1: 71341 nodes; retained interaction
PASS golevka DPR 1: 71313 nodes; retained interaction
PASS yorp DPR 1: 71093 nodes; retained interaction
PASS asteroid-1996-hw1 DPR 1: 71329 nodes; retained interaction
PASS asteroid-2008-ev5 DPR 1: 71325 nodes; retained interaction
PASS ra-shalom DPR 1: 71321 nodes; retained interaction
PASS asteroid-1992-sk DPR 1: 71333 nodes; retained interaction
PASS asteroid-1998-ml14 DPR 1: 71325 nodes; retained interaction
PASS asteroid-2002-ce26 DPR 1: 71345 nodes; retained interaction
PASS dike DPR 1: 71313 nodes; retained interaction
PASS massalia DPR 1: 71313 nodes; retained interaction
PASS proserpina DPR 1: 71313 nodes; retained interaction
PASS polyhymnia DPR 1: 71313 nodes; retained interaction
PASS leukothea DPR 1: 71313 nodes; retained interaction
PASS virginia DPR 1: 71313 nodes; retained interaction
PASS echo DPR 1: 71313 nodes; retained interaction
PASS maja DPR 1: 71313 nodes; retained interaction
PASS juewa DPR 1: 71313 nodes; retained interaction
PASS bertha DPR 1: 71313 nodes; retained interaction
PASS lucia DPR 1: 71313 nodes; retained interaction
PASS brucia DPR 1: 71313 nodes; retained interaction
PASS badenia DPR 1: 71313 nodes; retained interaction
PASS ducrosa DPR 1: 71313 nodes; retained interaction
PASS gyptis DPR 1: 71313 nodes; retained interaction
PASS petrina DPR 1: 71313 nodes; retained interaction
PASS veritas DPR 1: 71313 nodes; retained interaction
PASS gryphia DPR 1: 71313 nodes; retained interaction
PASS selinur DPR 1: 71313 nodes; retained interaction
PASS achilles DPR 1: 71313 nodes; retained interaction
PASS musa DPR 1: 71313 nodes; retained interaction
PASS auravictrix DPR 1: 71313 nodes; retained interaction
PASS transvaalia DPR 1: 71313 nodes; retained interaction
PASS moskva DPR 1: 71313 nodes; retained interaction
PASS kressmannia DPR 1: 71313 nodes; retained interaction
PASS parysatis DPR 1: 71313 nodes; retained interaction
PASS rosalinde DPR 1: 71313 nodes; retained interaction
PASS susi DPR 1: 71313 nodes; retained interaction
PASS hidalgo DPR 1: 71313 nodes; retained interaction
PASS zachia DPR 1: 71313 nodes; retained interaction
PASS piazzia DPR 1: 71313 nodes; retained interaction
PASS tulipa DPR 1: 71313 nodes; retained interaction
PASS reinmuthia DPR 1: 71313 nodes; retained interaction
PASS china DPR 1: 71313 nodes; retained interaction
PASS crimea DPR 1: 71313 nodes; retained interaction
PASS rusthawelia DPR 1: 71313 nodes; retained interaction
PASS schorria DPR 1: 71313 nodes; retained interaction
PASS silvretta DPR 1: 71313 nodes; retained interaction
PASS virtanen DPR 1: 71313 nodes; retained interaction
PASS mr-spock DPR 1: 71313 nodes; retained interaction
PASS educatio DPR 1: 71313 nodes; retained interaction
PASS hopi DPR 1: 71313 nodes; retained interaction
PASS schaber DPR 1: 71313 nodes; retained interaction
PASS iau DPR 1: 71313 nodes; retained interaction
PASS united-nations DPR 1: 71313 nodes; retained interaction
PASS tartaglia DPR 1: 71313 nodes; retained interaction
PASS raup DPR 1: 71313 nodes; retained interaction
PASS asteroid-2001-qw16 DPR 1: 71313 nodes; retained interaction
PASS asteroid-1999-fr33 DPR 1: 71313 nodes; retained interaction
PASS vesta DPR 1: 71333 nodes; retained interaction
PASS phobos DPR 1: 71857 nodes; retained interaction
PASS deimos DPR 1: 71857 nodes; retained interaction
PASS ceres DPR 1: 70965 nodes; retained interaction
PASS jupiter DPR 1: 71303 nodes; retained interaction
PASS io DPR 1: 70965 nodes; retained interaction
PASS europa DPR 1: 70965 nodes; retained interaction
PASS ganymede DPR 1: 70965 nodes; retained interaction
PASS callisto DPR 1: 70965 nodes; retained interaction
PASS saturn DPR 1: 71478 nodes; retained interaction
PASS pan DPR 1: 71313 nodes; retained interaction
PASS atlas DPR 1: 71313 nodes; retained interaction
PASS prometheus DPR 1: 71233 nodes; retained interaction
PASS pandora DPR 1: 71153 nodes; retained interaction
PASS janus DPR 1: 71233 nodes; retained interaction
PASS epimetheus DPR 1: 71233 nodes; retained interaction
PASS hyperion DPR 1: 71713 nodes; retained interaction
PASS mimas DPR 1: 71269 nodes; retained interaction
PASS enceladus DPR 1: 70965 nodes; retained interaction
PASS tethys DPR 1: 70965 nodes; retained interaction
PASS dione DPR 1: 70965 nodes; retained interaction
PASS rhea DPR 1: 70965 nodes; retained interaction
PASS titan DPR 1: 70965 nodes; retained interaction
PASS iapetus DPR 1: 70965 nodes; retained interaction
PASS phoebe DPR 1: 71857 nodes; retained interaction
PASS uranus DPR 1: 71578 nodes; retained interaction
PASS miranda DPR 1: 70965 nodes; retained interaction
PASS ariel DPR 1: 70965 nodes; retained interaction
PASS umbriel DPR 1: 70965 nodes; retained interaction
PASS titania DPR 1: 70965 nodes; retained interaction
PASS oberon DPR 1: 70965 nodes; retained interaction
PASS neptune DPR 1: 71240 nodes; retained interaction
PASS triton DPR 1: 70965 nodes; retained interaction
PASS pluto DPR 1: 70979 nodes; retained interaction
PASS charon DPR 1: 70965 nodes; retained interaction
PASS styx DPR 1: 71033 nodes; retained interaction
PASS nix DPR 1: 71313 nodes; retained interaction
PASS kerberos DPR 1: 71025 nodes; retained interaction
PASS hydra DPR 1: 71313 nodes; retained interaction
PASS haumea DPR 1: 71973 nodes; retained interaction
PASS makemake DPR 1: 70964 nodes; retained interaction
PASS eris DPR 1: 70964 nodes; retained interaction
