2dFS0107                                                       8.763208 -73.51706 E04      B1-5IV
2dFS0108                                                       8.768542 -73.85978 E04      B1-3V
2dFS0109                                                       8.773250 -74.15111 E04      A0Ia
2dFS0110                                                       8.778583 -74.10806 E04      A5II
2dFS0111                                                       8.782042 -73.60769 E04      B1-3IIIe?
2dFS0112                                                       8.783500 -73.54831 E04      B1-5IV
2dFS0113                                                       8.786042 -73.16092 E04      B1-2IIIe
2dFS0114                                                       8.792833 -74.12203 E04      B9II
2dFS0115                                                       8.793417 -73.54403 E04      B1-5IIIe?
2dFS0116                                                       8.799750 -73.60539 E04      B3-5V
2dFS0117                                                       8.808208 -73.72361 E04      B5Ib
2dFS0118                                                       8.813792 -74.07661 E04      A0Ib
2dFS0119                                                       8.814208 -73.65450 E04      B1-5IV
2dFS0120                                                       8.816292 -73.60100 E04      B0-5IIIe
2dFS0121                                                       8.844542 -73.87589 E04      F0
2dFS0122                                                       8.861583 -73.85069 E04      B1-5II
2dFS0123                                                       8.888833 -73.11914 E04      B0-5IVe
2dFS0124                                                       8.895042 -73.15606 E04      F0
2dFS0125                                                       8.904625 -73.34608 E04      A3II
2dFS0126                                                       8.908583 -73.78522 E04      B1-5III
2dFS0127                                                       8.940750 -73.20656 E04      B0-5IV
2dFS0128                                                       8.958125 -73.14142 E04      B1-3IV
2dFS0129                                                       8.967375 -73.39933 E04      B8II
2dFS0130                                                       8.985917 -73.12194 E04      B1-5IV
2dFS0131                                                       8.991958 -72.95592 E04      B0-5V
2dFS0132                                                       8.995125 -73.43250 E04      A5II
2dFS0133                                                       8.998417 -73.51811 E04      B1-5III
2dFS0134                                                       9.007250 -73.98194 E04      B9II
2dFS0135                                                       9.022083 -73.95714 E04      B3-5IV
2dFS0136                                                       9.045542 -72.90658 E04      B2V
2dFS0137                                                       9.045792 -73.61714 E04      B3-5III
2dFS0138                                                       9.046542 -74.13419 E04      B1-5III
2dFS0139                                                       9.067417 -74.10403 E04      B1-5IV
2dFS0140                                                       9.068125 -73.95872 E04      B5II
2dFS0141                                                       9.087583 -73.48517 E04      B1-3IV
2dFS0142                                                       9.090292 -73.43636 E04      A2Ib
2dFS0143                                                       9.104125 -73.02953 E04      B1-5IV
2dFS0144                                                       9.116375 -74.41211 E04      B0-5Ve
2dFS0145                                                       9.123875 -73.11231 E04      F0
2dFS0146                                                       9.124667 -73.91856 E04      A7II
2dFS0147                                                       9.133167 -73.35739 E04      B1-3III
2dFS0148                                                       9.138292 -73.28978 E04      B8Ib
2dFS0149                                                       9.139875 -73.23753 E04      B0.5V
2dFS0150                                                       9.149292 -73.97833 E04      B0-5V
2dFS0151                                                       9.151625 -74.22722 E04      B1-5IIIe?
2dFS0152                                                       9.154083 -73.00367 E04      B0.5V
2dFS0153                                                       9.154542 -73.58022 E04      B9Ib
2dFS0154                                                       9.164208 -72.50078 E04      B1-5III
2dFS0155                                                       9.177917 -73.13661 E04      B8II
2dFS0156                                                       9.178375 -73.79383 E04      B8II
2dFS0157                                                       9.188167 -73.58022 E04      A0II
2dFS0158                                                       9.198042 -73.75808 E04      B5II
2dFS0159                                                       9.223333 -73.66092 E04      B3-5II
2dFS0160                                                       9.224375 -73.22575 E04      A5II
2dFS0161                                                       9.231208 -73.26828 E04      B0-5V
2dFS0162                                                       9.238667 -72.80475 E04      B2IV
2dFS0163                                                       9.243167 -73.39244 E04      O8Ibf
2dFS0164                                                       9.246917 -73.66069 E04      B5III
2dFS0165                                                       9.251708 -73.05847 E04      B1-5III
2dFS0166                                                       9.260750 -72.93433 E04      B0-5V
2dFS0167                                                       9.266333 -73.97311 E04      B8II
2dFS0168                                                       9.273792 -72.97914 E04      B0-5III
2dFS0169                                                       9.275292 -73.69219 E04      B8II
2dFS0170                                                       9.295125 -73.89367 E04      B5III
2dFS0171                                                       9.305292 -72.99250 E04      B0V
2dFS0172                                                       9.314458 -73.76258 E04      A3Ia
2dFS0173                                                       9.321917 -73.41892 E04      F0
2dFS0174                                                       9.323292 -73.62767 E04      B1-3IV
2dFS0175                                                       9.338375 -73.03192 E04      B1-5V
2dFS0176                                                       9.342583 -73.51436 E04      B1-5III
2dFS0177                                                       9.346958 -73.54117 E04      A0Ib
2dFS0178                                                       9.348292 -73.85158 E04      A7II
2dFS0179                                                       9.366542 -73.39672 E04      A7II
2dFS0180                                                       9.371208 -73.96664 E04      F5
2dFS0181                                                       9.376875 -74.00736 E04      B0-5IV
2dFS0182                                                       9.382083 -73.32719 E04      B9III
2dFS0183                                                       9.382500 -73.11178 E04      B1-5V
2dFS0184                                                       9.386625 -74.04742 E04      B1-5III
2dFS0185                                                       9.401708 -73.78783 E04      B1-5V
2dFS0186                                                       9.401958 -73.76203 E04      B1-5IIIe
2dFS0187                                                       9.404250 -73.38542 E04      B1-2III
2dFS0188                                                       9.408625 -74.05456 E04      A0II
2dFS0189                                                       9.412458 -73.94536 E04      F0
2dFS0190                                                       9.413875 -72.87164 E04      B2III
2dFS0191                                                       9.414500 -73.36228 E04      F0
2dFS0192                                                       9.422583 -73.54481 E04      B0-5V
2dFS0193                                                       9.429792 -73.56411 E04      A2II
2dFS0194                                                       9.432333 -73.21397 E04      B1-5IV
2dFS0195                                                       9.435667 -73.07978 E04      B1-5IV
2dFS0196                                                       9.444667 -73.82897 E04      F0
2dFS0197                                                       9.447833 -72.74853 E04      B0-5IV
2dFS0198                                                       9.474083 -73.70831 E04      A0II
2dFS0199                                                       9.482125 -72.94336 E04      B0-5V
2dFS0200                                                       9.482542 -73.72178 E04      F0
2dFS0201                                                       9.483042 -73.42564 E04      A7II
2dFS0202                                                       9.489375 -72.92967 E04      B8II
2dFS0203                                                       9.496792 -73.37425 E04      B1-5III
2dFS0204                                                       9.503917 -73.65233 E04      B9Ib
2dFS0205                                                       9.520958 -73.54000 E04      B0-5V
2dFS0206                                                       9.523000 -73.84675 E04      B0-5V
2dFS0207                                                       9.529917 -73.49114 E04      B0-5V
2dFS0208                                                       9.532833 -73.89108 E04      B2.5V
2dFS0209                                                       9.536083 -73.51578 E04      B9II
2dFS0210                                                       9.537625 -73.20403 E04      B0-5V
2dFS0211                                                       9.543417 -73.33919 E04      A2II
2dFS0212                                                       9.543708 -73.62717 E04      B1-5III
2dFS0213                                                       9.547333 -72.94586 E04      A0II
2dFS0214                                                       9.548792 -72.66972 E04      B0-5IV
2dFS0215                                                       9.549958 -73.03267 E04      F0
2dFS0216                                                       9.556000 -73.72694 E04      B1-5III
2dFS0217                                                       9.561625 -73.21550 E04      A5II
2dFS0218                                                       9.567417 -73.15358 E04      B2V
2dFS0219                                                       9.572083 -73.54375 E04      B0-5IVe?
2dFS0220                                                       9.583000 -73.77608 E04      B1-3III
2dFS0221                                                       9.587083 -73.70081 E04      B1-5IV
2dFS0222                                                       9.592792 -73.01917 E04      B8III
2dFS0223                                                       9.598250 -73.52750 E04      B1-5IV
2dFS0224                                                       9.602583 -73.01508 E04      B0-5V
2dFS0225                                                       9.605917 -73.38158 E04      B1-5V
2dFS0226                                                       9.617208 -73.41219 E04      B1-3IV
2dFS0227                                                       9.628958 -73.17425 E04      B1-3V
2dFS0228                                                       9.630333 -73.95733 E04      B1-5IV
2dFS0229                                                       9.633333 -73.58381 E04      B1-5IV
2dFS0230                                                       9.634750 -73.42381 E04      B0-5Ve
2dFS0231                                                       9.636417 -73.37642 E04      B1-2III
2dFS0232                                                       9.636625 -73.27953 E04      B1-3III
2dFS0233                                                       9.641333 -73.57894 E04      B1-3II
2dFS0234                                                       9.643250 -72.67708 E04      A0II
2dFS0235                                                       9.654625 -73.56244 E04      B0-5V
2dFS0236                                                       9.664750 -73.52744 E04      B3-5IV
2dFS0237                                                       9.667458 -73.40203 E04      A3II
2dFS0238                                                       9.667750 -73.97706 E04      A2II
2dFS0239                                                       9.668542 -74.31811 E04      B1-2IV
2dFS0240                                                       9.687125 -73.59758 E04      B9Ib
2dFS0241                                                       9.694542 -73.23486 E04      B1-5V
2dFS0242                                                       9.699917 -73.56881 E04      B3V
2dFS0243                                                       9.702083 -73.49525 E04      B0-5Ve?
2dFS0244                                                       9.714958 -74.01478 E04      F0
2dFS0245                                                       9.716542 -73.37181 E04      B1-5IV
OGLE-PSFid1099121                                              9.716583 -73.57589 H05      B0.5+B1-3 Binary
2dFS0246                                                       9.738375 -73.81308 E04      F5
2dFS0247                                                       9.739208 -73.59194 E04      B0-5V
2dFS0248                                                       9.742958 -73.02078 E04      A3III
2dFS0249                                                       9.748875 -73.42375 E04      B0-5II
2dFS0250                                                       9.762125 -73.63886 E04      B0-5V
2dFS0251                                                       9.770542 -73.83928 E04      B1-3III
2dFS0252                                                       9.775500 -74.20922 E04      B0-5V
2dFS0253                                                       9.775667 -73.68628 E04      B1-5IV
2dFS0254                                                       9.777583 -74.02553 E04      B1-5V
2dFS0255                                                       9.779500 -73.45583 E04      A7II
2dFS0256                                                       9.782250 -72.90903 E04      B1-5V
2dFS0257                                                       9.797750 -72.98828 E04      A3II
2dFS0258                                                       9.810583 -73.30328 E04      B1-5V
2dFS0259                                                       9.812208 -73.20472 E04      B1-5II
2dFS0260                                                       9.812875 -73.52169 E04      B5III
2dFS0261                                                       9.816792 -73.68647 E04      A2II
2dFS0262                                                       9.824792 -73.50981 E04      B0-5V
2dFS0263                                                       9.830625 -73.49278 E04      B0-5Ve
2dFS0264                                                       9.846000 -73.46989 E04      A7II
2dFS0265                                                       9.846125 -73.65611 E04      B0-5V
2dFS0266                                                       9.854750 -73.42606 E04      B1-5V
2dFS0267                                                       9.859625 -73.92800 E04      B0-5V
2dFS0268                                                       9.865333 -73.05878 E04      B0-5IV
2dFS0269                                                       9.866125 -72.94658 E04      B1-5V
2dFS0270                                                       9.872958 -73.98381 E04      G2
2dFS0271                                                       9.880542 -72.81733 E04      B5II
2dFS0272                                                       9.883333 -72.65267 E04      A0II
2dFS0273                                                       9.890583 -72.86794 E04      AFA3kF5
2dFS0274                                                       9.902667 -73.72972 E04      B1-5V
2dFS0275                                                       9.908833 -73.89717 E04      B9:III
2dFS0276                                                       9.912750 -73.65661 E04      A0Ib
2dFS0277                                                       9.925833 -73.78817 E04      A3II
2dFS0278                                                       9.940875 -73.18117 E04      B1-5IV
2dFS0279                                                       9.942542 -73.59069 E04      B1-5III
2dFS0280                                                       9.944125 -73.24247 E04      A0Ib
2dFS0281                                                       9.944917 -72.70894 E04      A3III
2dFS0282                                                       9.947000 -73.87183 E04      B0-5V
2dFS0283                                                       9.948125 -74.21769 E04      B1-2IV
