time,flux,err,mask,centroid_y,psf_width_y
5.991403857950633392e+04,nan,4.041952275525111647e-04,1.000000000000000000e+00,2.523974234222576740e+01,1.183863786507526994e+00
5.991403869916893018e+04,nan,4.069575716262745810e-04,1.000000000000000000e+00,2.523576432754120447e+01,1.174342227008613238e+00
5.991403881883153372e+04,nan,4.068209659989119494e-04,1.000000000000000000e+00,2.524339845440584540e+01,1.194081988343972611e+00
5.991403893849412998e+04,nan,4.069907981175315144e-04,1.000000000000000000e+00,2.523364707271701946e+01,1.181277297591357689e+00
5.991403905815672624e+04,nan,4.070137360240089533e-04,1.000000000000000000e+00,2.523396305785069771e+01,1.185654889899169451e+00
5.991403917781932978e+04,nan,4.069640548440808304e-04,1.000000000000000000e+00,2.524089063159426516e+01,1.182909650066082730e+00
5.991403929748192604e+04,nan,4.070203249464533334e-04,1.000000000000000000e+00,2.523585134774217309e+01,1.178029059607213602e+00
5.991403941714452958e+04,1.007112001987170435e+00,4.070774406859309900e-04,0.000000000000000000e+00,2.524219887991173650e+01,1.186241163298149548e+00
5.991403953680712584e+04,1.007261961633818981e+00,4.070747980699773987e-04,0.000000000000000000e+00,2.523104383376933768e+01,1.181077434651224944e+00
5.991403965646972938e+04,1.007517808576226859e+00,4.071262057589952418e-04,0.000000000000000000e+00,2.522757223717898611e+01,1.187967386646400447e+00
5.991403977613232564e+04,1.006548406279388130e+00,4.068149760694170485e-04,0.000000000000000000e+00,2.522974351601466836e+01,1.170177956245907369e+00
5.991403989579492190e+04,1.005687480055367011e+00,4.066539526706428238e-04,0.000000000000000000e+00,2.522484931042623302e+01,1.183467533906584324e+00
5.991404001545752544e+04,1.007092554588784106e+00,4.069031689725093417e-04,0.000000000000000000e+00,2.522606010751255567e+01,1.185886223421628083e+00
5.991404013512012170e+04,1.006270838866055062e+00,4.067877042727756028e-04,0.000000000000000000e+00,2.523270376805994175e+01,1.183900667609935509e+00
5.991404025478272524e+04,1.007052965242068998e+00,4.068836136144525170e-04,0.000000000000000000e+00,2.523192119718045845e+01,1.169991421594748005e+00
5.991404037444532150e+04,1.006754813894080058e+00,4.068174072760943785e-04,0.000000000000000000e+00,2.523410056537155199e+01,1.185999895018350792e+00
5.991404049410792504e+04,1.006562865546370311e+00,4.068741354318988171e-04,0.000000000000000000e+00,2.523137026960377582e+01,1.181733495785267651e+00
5.991404061377052130e+04,1.006711814938556993e+00,4.068379139758945416e-04,0.000000000000000000e+00,2.523370492634774465e+01,1.191056454195417391e+00
5.991404073343311757e+04,1.005937644316428292e+00,4.067434844991516191e-04,0.000000000000000000e+00,2.522448590125624079e+01,1.187556546758546272e+00
5.991404085309572110e+04,1.006764600734177284e+00,4.068480263862770253e-04,0.000000000000000000e+00,2.523382607490472651e+01,1.179236826949665362e+00
5.991404097275831737e+04,1.006881600829014900e+00,4.070278652106409977e-04,0.000000000000000000e+00,2.522902045226915746e+01,1.178528535433387869e+00
5.991404109242092090e+04,1.006326024016021670e+00,4.068235733799861276e-04,0.000000000000000000e+00,2.524100584852433116e+01,1.193553906350413030e+00
5.991404121208351717e+04,1.006156806393698533e+00,4.067854140056158165e-04,0.000000000000000000e+00,2.523941085602440637e+01,1.186708659492081264e+00
