planet,transit,bjd_tdb_minus_2450000,agol2021_bjd_tdb_minus_2450000,difference_days,uncertainty_days
1.0,2426.0,10922.932953588974,10922.934686625802,-0.0018279758892276732,0.0002970057650026759
1.0,2427.0,10924.443760023474,10924.445560353177,-0.0018894900263148884,0.0002969579769516553
1.0,2428.0,10925.954590337773,10925.956434080552,-0.0019280575147604395,0.0002950851637997196
1.0,2429.0,10927.465429711083,10927.467307807929,-0.001957041207333532,0.00029122778194339585
1.0,2430.0,10928.976076064786,10928.978181535304,-0.002187801507716358,0.00029819141640262186
1.0,2431.0,10930.486852467911,10930.489055262678,-0.002287105493451236,0.0003023691179748209
1.0,2432.0,10931.998307219337,10931.999928990053,-0.0017121824603236746,0.0002928197196778448
1.0,2433.0,10933.509113335807,10933.510802717428,-0.0017831108229984238,0.0002959364816076801
1.0,2434.0,10935.019740502918,10935.021676444805,-0.0020332484937171103,0.00030404993911371786
1.0,2435.0,10936.530498042594,10936.53255017218,-0.002143852835160942,0.0003051411903167548
1.0,2436.0,10938.041321954337,10938.043423899555,-0.002188437776567298,0.00030323467696272773
1.0,2437.0,10939.552218545714,10939.554297626932,-0.002160206993266911,0.0002977234404503459
1.0,2438.0,10941.0628812356,10941.065171354307,-0.002375466184275865,0.00030475851539957076
1.0,2439.0,10942.573647052057,10942.576045081682,-0.00248605807291824,0.00030960245388228166
1.0,2440.0,10944.085085586712,10944.086918809058,-0.0019268487744739105,0.00030060638004782337
1.0,2441.0,10945.595903283076,10945.597792536433,-0.001985289760341402,0.00030306939248963166
1.0,2442.0,10947.106520238658,10947.108666263808,-0.0022448789914051304,0.0003108538503644593
1.0,2443.0,10948.617229738005,10948.619539991183,-0.002403967347163416,0.00031301454944547227
1.0,2444.0,10950.128051021722,10950.130413718558,-0.0024510740613550297,0.0003112145310706103
1.0,2445.0,10951.639009359678,10951.641287445935,-0.002361170107178623,0.00030412788151543347
1.0,2446.0,10953.149688941825,10953.15216117331,-0.002560369533057383,0.0003111722690931037
1.0,2447.0,10954.660448310824,10954.663034900685,-0.0026782201011883444,0.0003167089951944264
1.0,2448.0,10956.171856454865,10956.173908628061,-0.0021482431261574675,0.0003081709501544246
1.0,2449.0,10957.682678765628,10957.684782355436,-0.0022011537603248144,0.00030993506029924396
1.0,2450.0,10959.193290611862,10959.195656082811,-0.0024652576780681557,0.0003173859648140432
1.0,2451.0,10960.703960793313,10960.706529810186,-0.0026640037931429106,0.00032050689359038574
1.0,2452.0,10962.214779308455,10962.217403537561,-0.0027139125368194073,0.00031885998074949963
1.0,2453.0,10963.725806930666,10963.728277264938,-0.002555345397468045,0.000310406844329271
1.0,2454.0,10965.236500638968,10965.239150992313,-0.002740908668783959,0.0003173936777480502
1.0,2455.0,10966.747245865945,10966.750024719688,-0.0028735856690218498,0.00032352920895975854
1.0,2456.0,10968.258616681687,10968.260898447064,-0.0023796807172402623,0.00031545873698730486
1.0,2457.0,10969.769444418685,10969.77177217444,-0.002426032590392424,0.0003165288263837258
1.0,2458.0,10971.280052253378,10971.282645901814,-0.002693489728244458,0.00032353646142217936
1.0,2459.0,10972.79069560859,10972.793519629191,-0.0029197281764936633,0.0003275503235826339
1.0,2460.0,10974.30150999859,10974.304393356566,-0.0029737081122220843,0.0003261263645307119
1.0,2461.0,10975.812600841336,10975.81526708394,-0.002752788192083244,0.0003164527842143588
1.0,2462.0,10977.323310651274,10977.326140811316,-0.0029228609796518867,0.0003233663816148049
1.0,2463.0,10978.834043549323,10978.83701453869,-0.0030682634110235085,0.00033004336952002674
1.0,2464.0,10980.345367444159,10980.347888266067,-0.0026197234283245052,0.00032238037563956523
1.0,2465.0,10981.856204543821,10981.858761993442,-0.0026558602717159374,0.000322846364826212
1.0,2466.0,10983.366810884789,10983.369635720817,-0.0029239637538012175,0.000329329696143566
1.0,2467.0,10984.877427262749,10984.880509448194,-0.00317779476472424,0.0003340482551747103
1.0,2468.0,10986.388238886506,10986.391383175569,-0.003234871929180372,0.00033297438536192546
1.0,2469.0,10987.899395138975,10987.902256902944,-0.002949568535768776,0.00032232787709787775
1.0,2470.0,10989.410119084427,10989.41313063032,-0.0031058630497682316,0.00032905463821350425
1.0,2471.0,10990.920843280512,10990.924004357696,-0.0032605012434032687,0.0003362368118821872
1.0,2472.0,10992.432113753375,10992.43487808507,-0.002863605316633766,0.0003290441439758355
1.0,2473.0,10993.942951879817,10993.945751812445,-0.002897750002830435,0.0003289122406519886
1.0,2474.0,10995.453560753187,10995.45662553982,-0.003162704022543039,0.0003348150594650438
1.0,2475.0,10996.96416106491,10996.967499267197,-0.0034331855013078894,0.00034012376983357504
1.0,2476.0,10998.474968850569,10998.478372994572,-0.0034944014855682326,0.0003394230415223923
1.0,2477.0,10999.986191858163,10999.989246721947,-0.0031438571209037036,0.0003280769049616072
1.0,2478.0,11001.496930777106,11001.500120449324,-0.0032853173420335224,0.0003345734802595755
1.0,2479.0,11003.00763835719,11003.010994176699,-0.003456769910371804,0.0003421166190803308
1.0,2480.0,11004.518849005552,11004.521867904074,-0.003118164771422016,0.00033551610500899537
1.0,2481.0,11006.02969093795,11006.032741631449,-0.003147560069010069,0.0003349012202323131
1.0,2482.0,11007.54030550658,11007.543615358823,-0.003405968148854299,0.00034004396825824235
1.0,2483.0,11009.050899296659,11009.0544890862,-0.003683846614421782,0.000345830177440822
1.0,2484.0,11010.561705920245,11010.565362813575,-0.0037466366388798633,0.0003456003195417499
1.0,2485.0,11012.072984609866,11012.07623654095,-0.003341837841162487,0.00033374013597322954
1.0,2486.0,11013.583735971517,11013.587110268327,-0.0034710544273366395,0.0003399509749036487
1.0,2487.0,11015.09443076078,11015.097983995702,-0.003655361233086296,0.00034781306115453146
1.0,2488.0,11016.605576703838,11016.608857723077,-0.003379814630079636,0.00034187844120694044
1.0,2489.0,11018.116424270067,11018.119731450453,-0.0034029344865302846,0.0003408752824633153
1.0,2490.0,11019.627053827558,11019.630605177828,-0.003645513656010735,0.0003451391108346053
1.0,2491.0,11021.137639897677,11021.141478905203,-0.003931800114969519,0.000351247225318855
1.0,2492.0,11022.648442604146,11022.652352632578,-0.003999239996119286,0.00035154687037437435
1.0,2493.0,11024.159775278647,11024.163226359953,-0.003541977751410741,0.0003394600223261821
1.0,2494.0,11025.670537151027,11025.67410008733,-0.0036604769443329133,0.0003452820011040806
1.0,2495.0,11027.181220745775,11027.184973814705,-0.0038560836305805424,0.00035337638424199404
1.0,2496.0,11028.692303620295,11028.69584754208,-0.0036422571420189342,0.00034830510076449677
1.0,2497.0,11030.203150166526,11030.206721269456,-0.003665596352675493,0.00034695358530105306
1.0,2498.0,11031.713797533537,11031.717594996831,-0.0038896757159818662,0.000350160832168216
1.0,2499.0,11033.224384834328,11033.228468724206,-0.004175581038907694,0.00035655672066152493
1.0,2500.0,11034.735183453788,11034.739342451583,-0.00424769608571296,0.00035739763353954143
1.0,2501.0,11036.246563781227,11036.250216178958,-0.0037443658229676657,0.00034529392445882393
1.0,2502.0,11037.757339474958,11037.761089906333,-0.003848806772566604,0.00035071977660771205
1.0,2503.0,11039.268006986582,11039.271963633708,-0.0040602033004688565,0.00035891641378379133
1.0,2504.0,11040.77902145512,11040.782837361083,-0.003913820082289021,0.00035482792792915343
1.0,2505.0,11042.289869993527,11042.29371108846,-0.0039346130870399065,0.00035326555821194803
1.0,2506.0,11043.800542342888,11043.804584815834,-0.004132780706186168,0.000355215977084285
1.0,2507.0,11045.311134823674,11045.31545854321,-0.004414485960296588,0.0003618055163046929
