asteroid_number,prov_desig,comet_desig,mpc_packed_name,absolute_mag,slope_param,mean_jd,n_w1,n_w2,n_w3,n_w4,fit_code,diameter,diameter_err,v_albedo,v_albedo_err,ir_albedo,ir_albedo_err,beaming_param,beaming_param_err,stacked_flag,reference,notes,reference2,type,cntr
1317,,,01317,9.9100,0.1500,2455536.4163760,14,14,0,0,DV-I,17.9190,0.4360,0.6080,0.0690,0.9860,0.0760,1.0000,0.2000,,Mas12,,MASIEROETAL2012,mainbelt,143212
1317,,,01317,9.9100,0.1500,2455234.5589575,12,12,16,16,DVBI,26.3930,0.4390,0.2750,0.0470,0.4100,0.0760,0.9760,0.0520,,Mas14,,MASIEROETAL2014,mainbelt,4085
