x_pixel,y_pixel,value,standard_deviation
38,2,0.0,
39,2,0.0,
40,2,0.0,
41,2,0.0,
42,2,0.0,
43,2,0.0,
44,2,0.0,
45,2,0.0,
46,2,0.0,
47,2,0.0,
48,2,0.0,
49,2,0.0,
50,2,0.0,
51,2,0.0,
52,2,0.0,
53,2,0.0,
54,2,0.0,
55,2,0.0,
56,2,0.0,
57,2,0.0,
58,2,0.0,
59,2,0.0,
60,2,0.0,
61,2,0.0,
62,2,6.666666666666664e-06,
63,2,1.466666666666666e-05,
64,2,1.9333333333333327e-05,
65,2,0.0,
66,2,0.0,
67,2,0.0,
68,2,0.0,
69,2,0.0,
70,2,0.0,
71,2,0.0,
72,2,0.0,
73,2,0.0,
74,2,0.0,
75,2,0.0,
76,2,0.0,
77,2,0.0,
78,2,0.0,
79,2,0.0,
80,2,0.0,
81,2,5.999999999999997e-06,
82,2,1.3333333333333328e-05,
83,2,7.999999999999996e-06,
84,2,0.0,
85,2,0.0,
86,2,0.0,
87,2,0.0,
88,2,0.0,
89,2,0.0,
90,2,0.0,
91,2,0.0,
92,2,0.0,
93,2,0.0,
94,2,0.0,
95,2,0.0,
96,2,0.0,
97,2,0.0,
98,2,0.0,
99,2,0.0,
100,2,0.0,
101,2,0.0,
102,2,0.0,
103,2,0.0,
104,2,0.0,
105,2,0.0,
106,2,0.0,
107,2,0.0,
108,2,0.0,
109,2,0.0,
110,2,0.0,
111,2,0.0,
112,2,0.0,
113,2,0.0,
114,2,0.0,
115,2,0.0,
116,2,0.0,
117,2,0.0,
118,2,0.0,
119,2,0.0,
120,2,0.0,
121,2,0.0,
122,2,0.0,
123,2,0.0,
124,2,0.0,
125,2,0.0,
126,2,0.0,
127,2,0.0,
0,3,0.0,
1,3,0.0,
2,3,0.0,
3,3,0.0,
4,3,0.0,
5,3,0.0,
6,3,0.0,
7,3,0.0,
8,3,0.0,
9,3,0.0,
10,3,0.0,
11,3,0.0,
12,3,0.0,
13,3,0.0,
14,3,0.0,
15,3,0.0,
16,3,0.0,
17,3,0.0,
18,3,0.0,
19,3,0.0,
20,3,0.0,
21,3,0.0,
22,3,0.0,
23,3,0.0,
24,3,0.0,
25,3,0.0,
26,3,0.0,
27,3,3.333333333333332e-06,
28,3,6.666666666666664e-07,
29,3,0.0,
30,3,0.0,
31,3,0.0,
32,3,0.0,
33,3,0.0,
34,3,0.0,
35,3,0.0,
36,3,0.0,
37,3,0.0,
38,3,0.0,
39,3,0.0,
40,3,0.0,
41,3,0.0,
42,3,0.0,
43,3,0.0,
44,3,0.0,
45,3,0.0,
46,3,0.0,
47,3,0.0,
48,3,0.0,
49,3,0.0,
50,3,0.0,
51,3,0.0,
52,3,0.0,
53,3,0.0,
54,3,0.0,
55,3,0.0,
56,3,0.0,
57,3,0.0,
58,3,0.0,
59,3,0.0,
60,3,0.0,
61,3,0.0,
62,3,1.466666666666666e-05,
63,3,2.1999999999999993e-05,
64,3,0.00010733333333333329,
65,3,1.7333333333333325e-05,
66,3,0.0,
67,3,0.0,
68,3,0.0,
