asteroid_number,prov_desig,comet_desig,mpc_packed_name,absolute_mag,slope_param,mean_jd,n_w1,n_w2,n_w3,n_w4,fit_code,diameter,diameter_err,v_albedo,v_albedo_err,ir_albedo,ir_albedo_err,beaming_param,beaming_param_err,stacked_flag,reference,notes,reference2,type,cntr
2938,,,02938,11.6000,0.1500,2455289.2084190,12,14,14,14,DVBI,19.2670,0.1470,0.1090,0.0170,0.2330,0.0100,0.7570,0.0130,,Mas14,,MASIEROETAL2014,mainbelt,5367
2938,,,02938,11.5000,0.1500,2456897.1975822,14,14,0,0,DV--,25.5110,4.5870,0.1150,0.0470,0.1720,0.1210,0.9500,0.2000,,Nug15,,NUGENTETAL2015,mainbelt or mars crossers,157482
