logg	Teff	Z	L/HP	aLSM	bLSM	Type	Mod
[cm/s2]	K	[Sun]	 	 	 	 	
-----	------	----	----	--------	--------	-	--
 3.50	  2500	 0.0	 2.0	  0.3129	  0.5033	q	PC
 4.00	  2500	 0.0	 2.0	  0.3577	  0.4856	q	PC
 3.50	  2600	 0.0	 2.0	  0.2626	  0.5157	q	PC
 4.00	  2600	 0.0	 2.0	  0.2903	  0.5150	q	PC
 3.50	  2700	 0.0	 2.0	  0.2292	  0.5121	q	PC
 4.00	  2700	 0.0	 2.0	  0.2396	  0.5223	q	PC
