    0  -90   72.00000000
    0  -85   72.13759677
    0  -80   72.55090341
    0  -75   73.24132295
    0  -70   74.21068731
    0  -65   75.46042714
    0  -60   76.99026876
    0  -55   78.79632126
    0  -50   80.86839661
    0  -45   83.18642632
    0  -40   85.71594459
    0  -35   88.40286742
    0  -30   91.16828414
    0  -25   93.90471838
    0  -20   96.47616634
    0  -15   98.72471642
    0  -10  100.48587655
    0   -5  101.61213107
    0    0  102.00000000
    0    5  101.61213107
    0   10  100.48587655
    0   15   98.72471642
    0   20   96.47616634
    0   25   93.90471838
    0   30   91.16828414
    0   35   88.40286742
    0   40   85.71594459
    0   45   83.18642632
    0   50   80.86839661
    0   55   78.79632126
    0   60   76.99026876
    0   65   75.46042714
    0   70   74.21068731
    0   75   73.24132295
    0   80   72.55090341
    0   85   72.13759677
    0   90   72.00000000
    5  -90   72.00000000
    5  -85   72.13735817
    5  -80   72.54993992
    5  -75   73.23912089
    5  -70   74.20668735
    5  -65   75.45400637
    5  -60   76.98072423
    5  -55   78.78285718
    5  -50   80.85011931
    5  -45   83.16235352
    5  -40   85.68503840
    5  -35   88.36410328
    5  -30   91.12076805
    5  -25   93.84785838
    5  -20   96.40988798
    5  -15   98.64968250
    5  -10  100.40363859
    5   -5  101.52512395
    5    0  101.91132083
    5    5  101.52512395
    5   10  100.40363859
    5   15   98.64968250
    5   20   96.40988798
    5   25   93.84785838
    5   30   91.12076805
    5   35   88.36410328
    5   40   85.68503840
    5   45   83.16235352
    5   50   80.85011931
    5   55   78.78285718
    5   60   76.98072423
    5   65   75.45400637
    5   70   74.20668735
    5   75   73.23912089
    5   80   72.54993992
    5   85   72.13735817
    5   90   72.00000000
   10  -90   72.00000000
   10  -85   72.13664965
   10  -80   72.54707894
   10  -75   73.23258279
   10  -70   74.19481283
   10  -65   75.43494883
   10  -60   76.95240156
   10  -55   78.74291466
   10  -50   80.79591572
   10  -45   83.09098955
   10  -40   85.59345554
   10  -35   88.24928857
   10  -30   90.98010022
   10  -25   93.67961290
   10  -20   96.21386893
   10  -15   98.42786495
   10  -10  100.16060843
   10   -5  101.26805768
   10    0  101.64933484
   10    5  101.26805768
   10   10  100.16060843
   10   15   98.42786495
   10   20   96.21386893
   10   25   93.67961290
   10   30   90.98010022
   10   35   88.24928857
   10   40   85.59345554
   10   45   83.09098955
   10   50   80.79591572
   10   55   78.74291466
   10   60   76.95240156
   10   65   75.43494883
   10   70   74.19481283
   10   75   73.23258279
   10   80   72.54707894
   10   85   72.13664965
   10   90   72.00000000
   15  -90   72.00000000
   15  -85   72.13549277
   15  -80   72.54240807
   15  -75   73.22191067
   15  -70   74.17543550
   15  -65   75.40386133
   15  -60   76.90622139
   15  -55   78.67782406
   15  -50   80.70764208
   15  -45   82.97485524
   15  -40   85.44454169
   15  -35   88.06276912
   15  -30   90.75180153
   15  -25   93.40682412
   15  -20   95.89634923
   15  -15   98.06885985
   15  -10   99.76753708
   15   -5  100.85246676
   15    0  101.22585470
   15    5  100.85246676
   15   10   99.76753708
   15   15   98.06885985
   15   20   95.89634923
   15   25   93.40682412
   15   30   90.75180153
   15   35   88.06276912
   15   40   85.44454169
   15   45   82.97485524
   15   50   80.70764208
   15   55   78.67782406
   15   60   76.90622139
   15   65   75.40386133
   15   70   74.17543550
   15   75   73.22191067
   15   80   72.54240807
   15   85   72.13549277
   15   90   72.00000000
   20  -90   72.00000000
   20  -85   72.13392274
   20  -80   72.53607021
   20  -75   73.20743396
   20  -70   74.14916091
   20  -65   75.36173087
   20  -60   76.84367858
   20  -55   78.58974090
   20  -50   80.58829882
   20  -45   82.81801416
   20  -40   85.24367385
   20  -35   87.81150684
   20  -30   90.44468644
   20  -25   93.04037916
   20  -20   95.47039807
   20  -15   97.58784381
   20  -10   99.24138950
   20   -5  100.29652607
   20    0  100.65948427
   20    5  100.29652607
   20   10   99.24138950
   20   15   97.58784381
   20   20   95.47039807
   20   25   93.04037916
   20   30   90.44468644
   20   35   87.81150684
   20   40   85.24367385
   20   45   82.81801416
   20   50   80.58829882
   20   55   78.58974090
   20   60   76.84367858
   20   65   75.36173087
   20   70   74.14916091
   20   75   73.20743396
   20   80   72.53607021
   20   85   72.13392274
   20   90   72.00000000
   25  -90   72.00000000
   25  -85   72.13198734
   25  -80   72.52825916
   25  -75   73.18959884
   25  -70   74.11680791
   25  -65   75.30988937
