TITLE="Saturn's icy satellites investigated by Cassini - VIMS. V. Spectrophotometry"
AUTHORS="Gianrico Filacchione, Mauro Ciarniello, Emiliano D’Aversa, Fabrizio Capaccioni, Roger N. Clark, Bonnie J. Buratti, Paul Helfenstein, Katrin Stephan, Christina Plainaki"
JOURNAL="ICARUS, vol XX, pages XX-XX, (2022)"
DOI: XX

ASCII FILE FOR TABLE.2: Mimas photometric parameters.

COLUMN 1: wavelength (nm)
COLUMN 2: a_0
COLUMN 3: a_0 error
COLUMN 4: a_1
COLUMN 5: a_1 error
COLUMN 6: a_2
COLUMN 7: a_2 error
COLUMN 8: chi^2 best-fit value

2696 ; 0.0918798 ; 0.00529498 ; -0.000557875 ; 0.000152757 ; 1.30293e-06 ; 1.05704e-06 ; 161.798 
2781 ; 0.0138359 ; 0.00194283 ; -0.000153183 ; 5.43307e-05 ; 6.28789e-07 ; 3.51206e-07 ; 23.8527 
2866 ; 0.00652901 ; 0.00198743 ; -8.54227e-06 ; 5.39238e-05 ; -3.97605e-07 ; 3.43464e-07 ; 8.89869 
2947 ; -0.00343152 ; 0.00109927 ; 0.000173704 ; 3.82792e-05 ; -1.05645e-06 ; 2.64912e-07 ; 106.513 
3029 ; 0.0137495 ; 0.00222218 ; -0.000255182 ; 6.20136e-05 ; 1.35433e-06 ; 4.42996e-07 ; 13.8962 
3112 ; 0.0211174 ; 0.00264720 ; -0.000361673 ; 6.51497e-05 ; 1.72615e-06 ; 3.79101e-07 ; 7.33515 
3197 ; 0.0176703 ; 0.00255559 ; -0.000293663 ; 6.82316e-05 ; 1.43123e-06 ; 4.28572e-07 ; 8.57555 
3282 ; 0.0394597 ; 0.00359761 ; -0.000567709 ; 9.63415e-05 ; 2.35786e-06 ; 5.89325e-07 ; 30.9476 
3365 ; 0.0801127 ; 0.00489257 ; -0.00103694 ; 0.000135987 ; 3.95542e-06 ; 8.78699e-07 ; 47.5509 
3448 ; 0.126794 ; 0.00575553 ; -0.00148030 ; 0.000158902 ; 4.84195e-06 ; 1.06284e-06 ; 31.4724 
