
> cssearth@0.1.0 test:browser /Users/ekrof/fed/cssEarth-comets
> node site/test/dom-cleanliness-browser.mjs http://127.0.0.1:53135

PASS castalia DPR 1: 72831 nodes; retained interaction
PASS asteroid-1998-wt24 DPR 1: 72831 nodes; retained interaction
PASS asteroid-1994-cc DPR 1: 72831 nodes; retained interaction
PASS fides DPR 1: 72807 nodes; retained interaction
PASS penelope DPR 1: 72807 nodes; retained interaction
PASS alphonsina DPR 1: 72807 nodes; retained interaction
PASS angelina DPR 1: 72807 nodes; retained interaction
PASS ganymed DPR 1: 72867 nodes; retained interaction
PASS moshup DPR 1: 72807 nodes; retained interaction
PASS cybele DPR 1: 72859 nodes; retained interaction
PASS aurora DPR 1: 72839 nodes; retained interaction
PASS palma DPR 1: 72807 nodes; retained interaction
PASS thule DPR 1: 72807 nodes; retained interaction
PASS hektor DPR 1: 72807 nodes; retained interaction
PASS hekate DPR 1: 72807 nodes; retained interaction
PASS phaethon DPR 1: 72807 nodes; retained interaction
PASS harmonia DPR 1: 72843 nodes; retained interaction
PASS panopaea DPR 1: 72807 nodes; retained interaction
PASS desdemona-666 DPR 1: 72807 nodes; retained interaction
PASS asteroid-1950-da DPR 1: 72851 nodes; retained interaction
PASS apophis DPR 1: 72823 nodes; retained interaction
PASS donaldjohanson DPR 1: 72807 nodes; retained interaction
PASS geographos DPR 1: 72819 nodes; retained interaction
PASS bacchus DPR 1: 72531 nodes; retained interaction
PASS mithra DPR 1: 72819 nodes; retained interaction
PASS nereus DPR 1: 72835 nodes; retained interaction
PASS golevka DPR 1: 72807 nodes; retained interaction
PASS yorp DPR 1: 72587 nodes; retained interaction
PASS asteroid-1996-hw1 DPR 1: 72823 nodes; retained interaction
PASS asteroid-2008-ev5 DPR 1: 72819 nodes; retained interaction
PASS ra-shalom DPR 1: 72815 nodes; retained interaction
PASS asteroid-1992-sk DPR 1: 72827 nodes; retained interaction
PASS asteroid-1998-ml14 DPR 1: 72819 nodes; retained interaction
