0 -90 19.000000000
0 -80 19.146277417
0 -70 19.587113755
0 -60 20.325800047
0 -50 21.357371413
0 -40 22.648427524
0 -30 24.102842568
0 -20 25.521193471
0 -10 26.594359726
0 0 27.000000000
0 10 26.594359726
0 20 25.521193471
0 30 24.102842568
0 40 22.648427524
0 50 21.357371413
0 60 20.325800047
0 70 19.587113755
0 80 19.146277417
0 90 19.000000000
10 -90 19.000000000
10 -80 19.141817104
10 -70 19.568607335
10 -60 20.281684587
10 -50 21.273014061
10 -40 22.506051984
10 -30 23.884441206
10 -20 25.217255066
10 -10 26.217918601
10 0 26.594359726
10 10 26.217918601
10 20 25.217255066
10 30 23.884441206
10 40 22.506051984
10 50 21.273014061
10 60 20.281684587
10 70 19.568607335
10 80 19.141817104
10 90 19.000000000
20 -90 19.000000000
20 -80 19.128991536
20 -70 19.515611782
20 -60 20.156245827
20 -50 21.035588742
20 -40 22.110626414
20 -30 23.287268116
20 -20 24.399265474
20 -10 25.217255066
20 0 25.521193471
20 10 25.217255066
20 20 24.399265474
20 30 23.287268116
20 40 22.110626414
20 50 21.035588742
20 60 20.156245827
20 70 19.515611782
20 80 19.128991536
20 90 19.000000000
30 -90 19.000000000
30 -80 19.109391535
30 -70 19.435246574
30 -60 19.968497918
30 -50 20.686771309
30 -40 21.543280582
30 -30 22.453400019
30 -20 23.287268116
30 -10 23.884441206
30 0 24.102842568
30 10 23.884441206
30 20 23.287268116
30 30 22.453400019
30 40 21.543280582
30 50 20.686771309
30 60 19.968497918
30 70 19.435246574
30 80 19.109391535
30 90 19.000000000
40 -90 19.000000000
40 -80 19.085430656
40 -70 19.338006834
40 -60 19.745201006
40 -50 20.281684587
40 -40 20.903552171
40 -30 21.543280582
40 -20 22.110626414
40 -10 22.506051984
40 0 22.648427524
40 10 22.506051984
40 20 22.110626414
40 30 21.543280582
40 40 20.903552171
40 50 20.281684587
40 60 19.745201006
40 70 19.338006834
40 80 19.085430656
40 90 19.000000000
50 -90 19.000000000
50 -80 19.060030755
50 -70 19.236112810
50 -60 19.515611782
50 -50 19.875703391
50 -40 20.281684587
50 -30 20.686771309
50 -20 21.035588742
50 -10 21.273014061
50 0 21.357371413
50 10 21.273014061
50 20 21.035588742
50 30 20.686771309
50 40 20.281684587
50 50 19.875703391
50 60 19.515611782
50 70 19.236112810
50 80 19.060030755
50 90 19.000000000
60 -90 19.000000000
60 -80 19.036254843
60 -70 19.141817104
60 -60 19.307009692
60 -50 19.515611782
60 -40 19.745201006
60 -30 19.968497918
60 -20 20.156245827
60 -10 20.281684587
60 0 20.325800047
60 10 20.281684587
60 20 20.156245827
60 30 19.968497918
60 40 19.745201006
60 50 19.515611782
60 60 19.307009692
60 70 19.141817104
60 80 19.036254843
60 90 19.000000000
70 -90 19.000000000
70 -80 19.016938236
70 -70 19.065964115
70 -60 19.141817104
70 -50 19.236112810
70 -40 19.338006834
70 -30 19.435246574
70 -20 19.515611782
70 -10 19.568607335
70 0 19.587113755
70 10 19.568607335
70 20 19.515611782
70 30 19.435246574
70 40 19.338006834
70 50 19.236112810
70 60 19.141817104
70 70 19.065964115
70 80 19.016938236
70 90 19.000000000
80 -90 19.000000000
80 -80 19.004361886
80 -70 19.016938236
80 -60 19.036254843
80 -50 19.060030755
80 -40 19.085430656
80 -30 19.109391535
80 -20 19.128991536
80 -10 19.141817104
80 0 19.146277417
80 10 19.141817104
80 20 19.128991536
80 30 19.109391535
80 40 19.085430656
80 50 19.060030755
80 60 19.036254843
80 70 19.016938236
80 80 19.004361886
80 90 19.000000000
90 -90 19.000000000
90 -80 19.000000000
90 -70 19.000000000
90 -60 19.000000000
90 -50 19.000000000
90 -40 19.000000000
90 -30 19.000000000
90 -20 19.000000000
90 -10 19.000000000
90 0 19.000000000
90 10 19.000000000
90 20 19.000000000
90 30 19.000000000
90 40 19.000000000
90 50 19.000000000
90 60 19.000000000
90 70 19.000000000
90 80 19.000000000
90 90 19.000000000
100 -90 19.000000000
100 -80 19.004361886
100 -70 19.016938236
100 -60 19.036254843
100 -50 19.060030755
100 -40 19.085430656
100 -30 19.109391535
100 -20 19.128991536
100 -10 19.141817104
100 0 19.146277417
100 10 19.141817104
100 20 19.128991536
100 30 19.109391535
100 40 19.085430656
100 50 19.060030755
100 60 19.036254843
100 70 19.016938236
100 80 19.004361886
100 90 19.000000000
110 -90 19.000000000
110 -80 19.016938236
110 -70 19.065964115
110 -60 19.141817104
110 -50 19.236112810
110 -40 19.338006834
110 -30 19.435246574
110 -20 19.515611782
110 -10 19.568607335
110 0 19.587113755
110 10 19.568607335
110 20 19.515611782
110 30 19.435246574
110 40 19.338006834
110 50 19.236112810
110 60 19.141817104
110 70 19.065964115
110 80 19.016938236
110 90 19.000000000
120 -90 19.000000000
120 -80 19.036254843
120 -70 19.141817104
120 -60 19.307009692
120 -50 19.515611782
120 -40 19.745201006
120 -30 19.968497918
