epoch,object,raoff,raoff_err,decoff,decoff_err
57409.594,1,-4974.0,2.8,-6409.8,2.3
57834.300,1,-4977.6,2.2,-6412.8,2.1
58125.205,1,-4982.9,2.5,-6406.5,2.6
59678.915,1,-5049.0,1.3,-6387.5,1.1
