0 -90 37.000000000
0 -80 37.429438960
0 -70 38.754781284
0 -60 41.089698192
0 -50 44.627511483
0 -40 49.621049738
0 -30 56.258990239
0 -20 64.225487840
0 -10 71.713947578
0 0 75.000000000
0 10 71.713947578
0 20 64.225487840
0 30 56.258990239
0 40 49.621049738
0 50 44.627511483
0 60 41.089698192
0 70 38.754781284
0 80 37.429438960
0 90 37.000000000
10 -90 37.000000000
10 -80 37.416270430
10 -70 38.698168708
10 -60 40.945937187
10 -50 44.324617888
10 -40 49.034190700
10 -30 55.178140230
10 -20 62.360663951
10 -10 68.907190912
10 0 71.713947578
10 10 68.907190912
10 20 62.360663951
10 30 55.178140230
10 40 49.034190700
10 50 44.324617888
10 60 40.945937187
10 70 38.698168708
10 80 37.416270430
10 90 37.000000000
20 -90 37.000000000
20 -80 37.378430648
20 -70 38.536534637
20 -60 40.540272937
20 -50 43.485758567
20 -40 47.454056045
20 -30 52.382803500
20 -20 57.781453386
20 -10 62.360663951
20 0 64.225487840
20 10 62.360663951
20 20 57.781453386
20 30 52.382803500
20 40 47.454056045
20 50 43.485758567
20 60 40.540272937
20 70 38.536534637
20 80 37.378430648
20 90 37.000000000
30 -90 37.000000000
30 -80 37.320678775
30 -70 38.292778624
30 -60 39.941496994
30 -50 42.288160015
30 -40 45.304341204
30 -30 48.819632792
30 -20 52.382803500
30 -10 55.178140230
30 0 56.258990239
30 10 55.178140230
30 20 52.382803500
30 30 48.819632792
30 40 45.304341204
30 50 42.288160015
30 60 39.941496994
30 70 38.292778624
30 80 37.320678775
30 90 37.000000000
40 -90 37.000000000
40 -80 37.250199866
40 -70 37.999991191
40 -60 39.241996686
40 -50 40.945937187
40 -40 43.027687047
40 -30 45.304341204
40 -20 47.454056045
40 -10 49.034190700
40 0 49.621049738
40 10 49.034190700
40 20 47.454056045
40 30 45.304341204
40 40 43.027687047
40 50 40.945937187
40 60 39.241996686
40 70 37.999991191
40 80 37.250199866
40 90 37.000000000
50 -90 37.000000000
50 -80 37.175634592
50 -70 37.695672778
50 -60 38.536534637
50 -50 39.649169970
50 -40 40.945937187
50 -30 42.288160015
50 -20 43.485758567
50 -10 44.324617888
50 0 44.627511483
50 10 44.324617888
50 20 43.485758567
50 30 42.288160015
50 40 40.945937187
50 50 39.649169970
50 60 38.536534637
50 70 37.695672778
50 80 37.175634592
50 90 37.000000000
60 -90 37.000000000
60 -80 37.105972698
60 -70 37.416270430
60 -60 37.907147831
60 -50 38.536534637
60 -40 39.241996686
60 -30 39.941496994
60 -20 40.540272937
60 -10 40.945937187
60 0 41.089698192
60 10 40.945937187
60 20 40.540272937
60 30 39.941496994
60 40 39.241996686
60 50 38.536534637
60 60 37.907147831
60 70 37.416270430
60 80 37.105972698
60 90 37.000000000
70 -90 37.000000000
70 -80 37.049472632
70 -70 37.193039422
70 -60 37.416270430
70 -50 37.695672778
70 -40 37.999991191
70 -30 38.292778624
70 -20 38.536534637
70 -10 38.698168708
70 0 38.754781284
70 10 38.698168708
70 20 38.536534637
70 30 38.292778624
70 40 37.999991191
70 50 37.695672778
70 60 37.416270430
70 70 37.193039422
70 80 37.049472632
70 90 37.000000000
80 -90 37.000000000
80 -80 37.012733738
80 -70 37.049472632
80 -60 37.105972698
80 -50 37.175634592
80 -40 37.250199866
80 -30 37.320678775
80 -20 37.378430648
80 -10 37.416270430
80 0 37.429438960
80 10 37.416270430
80 20 37.378430648
80 30 37.320678775
80 40 37.250199866
80 50 37.175634592
80 60 37.105972698
80 70 37.049472632
80 80 37.012733738
80 90 37.000000000
90 -90 37.000000000
90 -80 37.000000000
90 -70 37.000000000
90 -60 37.000000000
90 -50 37.000000000
90 -40 37.000000000
90 -30 37.000000000
90 -20 37.000000000
90 -10 37.000000000
90 0 37.000000000
90 10 37.000000000
90 20 37.000000000
