YYYY MM DD hh mm ss.sss   BX CSE BY CSE BZ CSE BT CSE X CSE      Y CSE      Z CSE      R CSE      
                           nT     nT     nT     nT    km         km         km         km         
1986 03 08 12 21 08.000    6.8    6.6   -7.8   12.3 -1977661.4  4810993.5  -684452.8  5246454.0
1986 03 08 12 22 08.000   10.5    5.9   -7.6   14.2 -1976008.9  4806736.5  -683840.4  5241847.5
1986 03 08 12 23 08.000   12.6    6.3   -6.3   15.4 -1974356.2  4802479.5  -683227.9  5237241.0
1986 03 08 12 24 08.000   11.1    5.6   -7.3   14.4 -1972703.5  4798222.5  -682615.5  5232634.5
1986 03 08 12 25 08.000    9.0    5.5   -6.5   12.4 -1971050.5  4793965.5  -682003.1  5228028.0
1986 03 08 12 26 09.000   10.4    3.5   -7.0   13.0 -1969369.9  4789638.0  -681380.5  5223345.0
1986 03 08 12 27 09.000    9.7    2.7  -10.1   14.2 -1967716.6  4785381.5  -680768.2  5218738.5
1986 03 08 12 28 09.000    9.5    2.3   -7.7   12.5 -1966063.2  4781124.5  -680155.8  5214132.0
1986 03 08 12 29 09.000    7.9    3.9   -8.8   12.5 -1964409.6  4776868.0  -679543.5  5209525.0
1986 03 08 12 30 09.000    2.5    5.6  -14.3   15.6 -1962756.0  4772611.5  -678931.1  5204919.0
1986 03 08 12 51 07.000   -1.5   10.9  -12.9   17.0 -1928045.5  4683380.5  -666093.6  5108335.5
1986 03 08 12 52 07.000   -2.4   11.4  -11.9   16.6 -1926388.1  4679125.0  -665481.7  5103729.0
1986 03 08 12 53 07.000   -2.9   12.9  -11.2   17.3 -1924730.5  4674870.0  -664869.8  5099122.5
1986 03 08 12 54 07.000   -3.6   12.8  -10.6   17.0 -1923072.9  4670615.0  -664257.8  5094516.0
1986 03 08 12 55 07.000   -3.7   13.5   -8.9   16.6 -1921415.0  4666360.0  -663645.9  5089909.0
1986 03 08 12 56 08.000   -2.7   15.2   -4.2   16.0 -1919729.4  4662034.5  -663023.9  5085226.5
1986 03 08 12 57 08.000   -4.0   15.5   -5.3   16.9 -1918071.2  4657779.5  -662412.0  5080619.5
1986 03 08 12 58 08.000   -4.6   17.0   -5.5   18.4 -1916412.9  4653525.0  -661800.1  5076013.5
1986 03 08 12 59 08.000   -4.9   14.3   -9.7   18.0 -1914754.5  4649270.5  -661188.2  5071407.5
1986 03 08 13 00 08.000   -4.4   14.2  -10.7   18.4 -1913095.9  4645015.5  -660576.4  5066800.0
1986 03 08 13 01 08.000   -4.8   13.9  -11.6   18.8 -1911437.1  4640761.5  -659964.5  5062194.5
1986 03 08 13 02 08.000   -5.1   14.4  -10.3   18.4 -1909778.2  4636507.0  -659352.6  5057588.0
1986 03 08 13 03 08.000   -4.2   14.2  -10.5   18.1 -1908119.2  4632252.5  -658740.6  5052981.5
1986 03 08 13 04 08.000   -3.1   13.2  -11.3   17.7 -1906460.1  4627998.0  -658128.7  5048375.0
1986 03 08 13 05 08.000   -2.3   13.4   -5.9   14.9 -1904800.8  4623744.0  -657516.8  5043768.5
1986 03 08 13 06 09.000   -0.8   11.7   -3.0   12.1 -1903113.6  4619419.0  -656894.7  5039085.5
1986 03 08 13 07 09.000    1.6    9.5   -6.8   11.8 -1901453.9  4615165.0  -656282.8  5034479.5
1986 03 08 13 08 09.000    6.5    7.2  -14.9   17.8 -1899794.1  4610911.0  -655670.9  5029873.0
1986 03 08 13 09 09.000    8.0    6.3  -17.2   20.0 -1898134.1  4606657.0  -655059.1  5025266.5
1986 03 08 13 10 09.000    6.7    6.5  -18.0   20.3 -1896474.0  4602403.0  -654447.2  5020660.0
1986 03 08 13 11 07.000    7.5    5.7  -18.1   20.5 -1894868.9  4598291.0  -653855.8  5016207.0
1986 03 08 13 12 07.000    8.4    4.8  -17.6   20.0 -1893208.4  4594037.0  -653244.1  5011601.0
1986 03 08 13 13 07.000    9.3    4.5  -16.2   19.2 -1891547.6  4589783.0  -652632.2  5006994.0
1986 03 08 13 14 07.000    8.8    4.5  -16.7   19.4 -1889886.8  4585529.5  -652020.6  5002387.5
1986 03 08 13 15 07.000    9.0    4.5  -17.2   19.9 -1888225.6  4581275.5  -651408.8  4997781.0
1986 03 08 13 16 08.000   10.2    3.1  -16.4   19.6 -1886536.8  4576951.0  -650786.9  4993097.5
1986 03 08 13 17 08.000   10.7    2.2  -16.6   19.8 -1884875.4  4572697.5  -650175.2  4988491.0
1986 03 08 13 18 08.000   10.7    1.8  -16.6   19.8 -1883213.9  4568444.0  -649563.6  4983884.5
1986 03 08 13 19 08.000   10.4    1.6  -16.6   19.7 -1881552.2  4564190.5  -648952.1  4979278.5
1986 03 08 13 20 08.000   10.4    1.0  -15.7   18.9 -1879890.4  4559937.0  -648340.4  4974671.5
1986 03 08 13 21 08.000    9.3    2.5  -17.4   19.9 -1878228.6  4555683.5  -647729.0  4970065.0
1986 03 08 13 22 08.000    8.2    3.0  -17.8   19.8 -1876566.6  4551430.0  -647117.5  4965458.5
1986 03 08 13 23 08.000    7.3    2.9  -18.4   20.0 -1874904.5  4547177.0  -646506.1  4960852.5
1986 03 08 13 24 08.000    4.9    4.4  -19.5   20.5 -1873242.2  4542924.0  -645894.7  4956246.0
1986 03 08 13 25 08.000    4.2    5.1  -20.0   21.0 -1871579.9  4538670.5  -645283.3  4951639.0
1986 03 08 13 26 09.000    5.3    4.4  -19.9   21.1 -1869889.5  4534346.5  -644661.8  4946956.0
1986 03 08 13 27 09.000    6.1    3.4  -19.7   20.9 -1868226.8  4530093.5  -644050.4  4942349.5
1986 03 08 13 28 09.000    8.3    0.2  -17.3   19.2 -1866563.9  4525841.0  -643439.0  4937743.5
1986 03 08 13 29 09.000    4.9    6.4  -16.3   18.2 -1864900.8  4521588.0  -642827.6  4933137.0
1986 03 08 13 30 09.000    5.2    5.2  -16.1   17.7 -1863237.5  4517335.0  -642216.3  4928530.5
1986 03 08 13 31 07.000    4.9    6.5   -9.4   12.4 -1861629.4  4513224.0  -641625.2  4924077.5
1986 03 08 13 32 07.000    5.1    6.0  -13.4   15.5 -1859965.6  4508971.5  -641013.8  4919471.0
1986 03 08 13 33 07.000    4.8    5.0  -14.9   16.5 -1858301.8  4504718.5  -640402.3  4914864.0
1986 03 08 13 34 07.000    3.2    7.0  -15.5   17.3 -1856637.8  4500466.0  -639790.9  4910257.5
1986 03 08 13 35 07.000    5.0   12.2  -10.3   16.8 -1854973.5  4496213.5  -639179.5  4905651.0
1986 03 08 13 36 08.000    5.4   12.6  -12.1   18.2 -1853281.2  4491890.0  -638557.9  4900967.5
1986 03 08 13 37 08.000    7.0   12.1  -13.1   19.1 -1851616.8  4487638.0  -637946.5  4896361.5
1986 03 08 13 38 08.000    8.1   12.5  -14.8   21.0 -1849952.0  4483385.5  -637335.1  4891754.5
1986 03 08 13 39 08.000    8.8    9.5  -16.1   20.6 -1848287.0  4479133.0  -636723.8  4887148.0
1986 03 08 13 40 08.000    8.0    8.7  -16.2   20.1 -1846622.0  4474881.0  -636112.5  4882541.5
1986 03 08 13 41 08.000    8.5    7.4  -16.5   20.0 -1844956.8  4470629.0  -635501.3  4877935.0
1986 03 08 13 42 08.000    8.5    6.0  -17.1   20.0 -1843291.4  4466377.0  -634890.1  4873328.5
1986 03 08 13 43 08.000    7.3    3.1  -16.1   18.0 -1841625.9  4462125.0  -634279.0  4868722.0
1986 03 08 13 44 08.000    3.6   -1.5  -11.5   12.1 -1839960.2  4457873.0  -633667.9  4864115.5
1986 03 08 13 45 08.000    4.7    0.5  -11.3   12.2 -1838294.4  4453621.5  -633056.8  4859509.5
1986 03 08 13 46 09.000    4.6    0.4  -10.1   11.1 -1836600.6  4449298.5  -632435.5  4854826.0
1986 03 08 13 47 09.000    3.6   -0.4   -9.8   10.5 -1834934.5  4445047.0  -631824.4  4850219.5
1986 03 08 13 48 09.000    3.3    0.1   -9.3    9.8 -1833268.1  4440795.5  -631213.4  4845613.0
1986 03 08 13 49 09.000    3.8    0.6   -9.3   10.0 -1831601.6  4436544.0  -630602.4  4841007.0
1986 03 08 13 50 09.000    4.1   -0.2   -8.6    9.5 -1829935.0  4432292.5  -629991.3  4836400.0
1986 03 08 14 11 07.000    5.3    0.8   -4.6    7.1 -1794954.1  4343165.0  -617183.1  4739816.5
1986 03 08 14 12 07.000    6.2    0.9   -1.6    6.5 -1793284.0  4338914.5  -616572.4  4735209.5
1986 03 08 14 13 07.000    4.5    0.5   -3.7    5.9 -1791613.8  4334664.5  -615961.8  4730603.0
1986 03 08 14 14 07.000    3.7    1.3   -6.9    8.0 -1789943.2  4330414.5  -615351.2  4725996.5
1986 03 08 14 15 07.000    5.7    1.3  -10.8   12.3 -1788272.6  4326164.5  -614740.6  4721390.5
1986 03 08 14 16 08.000    8.0    1.4  -10.9   13.6 -1786573.9  4321843.5  -614119.8  4716706.5
1986 03 08 14 17 08.000    8.2    1.4  -11.2   13.9 -1784903.0  4317593.5  -613509.2  4712100.0
1986 03 08 14 18 08.000    7.9    1.5  -11.5   14.0 -1783231.9  4313344.0  -612898.7  4707493.5
1986 03 08 14 19 08.000    6.4    3.2   -1.2    7.3 -1781560.6  4309094.0  -612288.1  4702887.0
1986 03 08 14 20 08.000    6.6    1.0   -4.9    8.3 -1779889.1  4304844.5  -611677.6  4698280.5
1986 03 08 14 21 08.000    7.4    1.3   -5.4    9.2 -1778217.5  4300594.5  -611067.0  4693674.0
1986 03 08 14 22 08.000    7.5    0.6   -5.7    9.5 -1776545.8  4296345.0  -610456.5  4689067.5
1986 03 08 14 23 08.000    7.6    2.8   -1.3    8.2 -1774873.9  4292095.5  -609845.9  4684461.0
1986 03 08 14 24 08.000    8.2    1.9   -3.5    9.2 -1773201.8  4287846.0  -609235.4  4679854.5
1986 03 08 14 25 08.000    8.9    1.4   -5.0   10.3 -1771529.5  4283596.5  -608624.9  4675247.5
1986 03 08 14 26 09.000    9.5    1.6   -7.9   12.4 -1769829.2  4279276.5  -608004.2  4670564.5
1986 03 08 14 27 09.000    8.9    5.3   -1.3   10.4 -1768156.6  4275027.0  -607393.8  4665957.5
1986 03 08 14 28 09.000    8.7    5.4    0.7   10.3 -1766484.0  4270778.0  -606783.3  4661351.5
1986 03 08 14 29 09.000    8.2    5.8    1.2   10.1 -1764811.1  4266529.0  -606172.9  4656745.0
1986 03 08 14 30 09.000    9.5    3.9    0.6   10.2 -1763138.0  4262279.5  -605562.4  4652138.0
1986 03 08 14 31 07.000    8.9    3.9    1.6    9.8 -1761520.6  4258172.0  -604972.4  4647685.0
1986 03 08 14 32 07.000    6.0    2.8    0.9    6.7 -1759847.2  4253923.0  -604362.1  4643078.0
1986 03 08 14 33 07.000    0.8    1.6    0.6    1.9 -1758173.6  4249674.0  -603751.7  4638472.0
1986 03 08 14 34 07.000    2.7    2.7    4.0    5.5 -1756500.0  4245425.5  -603141.4  4633865.5
1986 03 08 14 35 07.000    3.1    3.2    4.4    6.2 -1754826.1  4241176.5  -602531.1  4629259.0
1986 03 08 14 36 08.000    4.3    3.4    3.1    6.3 -1753124.2  4236857.0  -601910.6  4624575.5
1986 03 08 14 37 08.000    4.2    2.8    3.2    6.0 -1751450.1  4232608.0  -601300.3  4619968.5
1986 03 08 14 38 08.000    3.5    4.2    3.0    6.2 -1749775.8  4228359.5  -600690.1  4615362.0
1986 03 08 14 39 08.000    5.7    3.0    2.5    6.9 -1748101.4  4224111.0  -600079.9  4610756.0
1986 03 08 14 40 08.000    9.1    1.8    0.4    9.3 -1746426.8  4219862.5  -599469.6  4606149.0
1986 03 08 14 41 08.000    9.4    0.8   -0.6    9.5 -1744752.0  4215614.0  -598859.5  4601542.5
1986 03 08 14 42 08.000    9.6    0.8   -0.7    9.6 -1743077.1  4211366.0  -598249.3  4596936.5
1986 03 08 14 43 08.000    8.4    1.3   -3.3    9.1 -1741402.1  4207117.5  -597639.2  4592329.5
1986 03 08 14 44 08.000    7.2    6.4  -15.2   18.0 -1739727.0  4202869.5  -597029.1  4587723.5
1986 03 08 14 45 08.000    6.5    8.7  -16.9   20.0 -1738051.6  4198621.5  -596418.9  4583117.0
1986 03 08 14 46 09.000    7.6    6.1  -16.6   19.3 -1736348.2  4194302.5  -595798.7  4578433.5
1986 03 08 14 47 09.000    8.4    4.1  -16.2   18.7 -1734672.5  4190054.5  -595188.6  4573827.0
1986 03 08 14 48 09.000    9.3    2.0  -13.9   16.8 -1732996.8  4185806.5  -594578.6  4569220.5
1986 03 08 14 49 09.000   10.5   -1.7   -4.6   11.6 -1731320.8  4181558.8  -593968.6  4564614.5
1986 03 08 14 50 09.000   10.9   -2.3   -8.7   14.1 -1729644.5  4177310.8  -593358.5  4560007.5
1986 03 08 14 51 07.000   10.2    1.2    3.3   10.8 -1728024.1  4173204.8  -592768.8  4555555.0
1986 03 08 14 52 07.000    8.3    3.0    6.1   10.8 -1726347.5  4168957.0  -592158.7  4550948.5
1986 03 08 14 53 07.000    7.3    3.5    6.5   10.4 -1724670.9  4164709.2  -591548.7  4546342.0
1986 03 08 14 54 07.000    8.6    3.2    5.8   10.9 -1722994.0  4160461.8  -590938.6  4541735.5
1986 03 08 14 55 07.000   10.8    1.2    4.1   11.6 -1721316.9  4156214.2  -590328.6  4537128.5
1986 03 08 14 56 08.000   10.9    0.3    3.8   11.5 -1719611.8  4151896.0  -589708.5  4532445.5
1986 03 08 14 57 08.000    8.3   -0.8    3.4    9.0 -1717934.4  4147648.5  -589098.5  4527839.0
1986 03 08 14 58 08.000    6.9   -2.4    3.4    8.0 -1716256.9  4143401.2  -588488.6  4523232.5
1986 03 08 14 59 08.000    7.6   -3.0    1.8    8.4 -1714579.1  4139154.0  -587878.6  4518626.0
1986 03 08 15 00 08.000    7.2   -3.6    0.4    8.1 -1712901.2  4134906.8  -587268.7  4514019.0
1986 03 08 15 01 08.000    6.8   -2.4    1.8    7.4 -1711223.2  4130659.5  -586658.8  4509412.5
1986 03 08 15 02 08.000    5.4   -3.6    1.4    6.6 -1709545.1  4126412.5  -586048.9  4504806.0
1986 03 08 15 03 08.000    5.2   -3.5    1.4    6.4 -1707866.9  4122165.5  -585439.1  4500200.0
1986 03 08 15 04 08.000    6.1   -3.6    1.6    7.2 -1706188.4  4117918.5  -584829.2  4495593.0
1986 03 08 15 05 08.000    9.4   -2.5   -0.2    9.7 -1704509.8  4113671.5  -584219.4  4490986.5
1986 03 08 15 06 09.000   10.9   -1.7    0.0   11.0 -1702803.0  4109353.8  -583599.5  4486303.0
1986 03 08 15 07 09.000    7.7   -5.1   -3.7    9.9 -1701124.0  4105107.0  -582989.8  4481696.5
1986 03 08 15 08 09.000    8.9   -4.5  -11.5   15.2 -1699444.9  4100860.2  -582380.0  4477090.0
1986 03 08 15 09 09.000    8.6   -4.2  -13.2   16.3 -1697765.5  4096613.8  -581770.2  4472483.5
1986 03 08 15 10 09.000    9.0   -3.9  -11.2   14.9 -1696086.0  4092367.0  -581160.6  4467877.0
1986 03 08 15 11 07.000   10.2   -3.3   -4.0   11.4 -1694462.4  4088262.0  -580571.2  4463423.5
1986 03 08 15 13 07.000   10.0   -3.5    0.1   10.6 -1691102.5  4079769.0  -579351.9  4454210.5
1986 03 08 15 14 07.000   11.0   -3.1    0.7   11.5 -1689422.2  4075522.8  -578742.2  4449604.0
1986 03 08 15 15 07.000   12.2    1.5    1.0   12.4 -1687742.0  4071276.2  -578132.6  4444997.5
1986 03 08 15 16 08.000   12.0    4.2    3.5   13.2 -1686033.4  4066959.2  -577512.9  4440314.0
1986 03 08 15 17 08.000   12.2    3.8    3.1   13.1 -1684352.8  4062713.0  -576903.3  4435707.5
1986 03 08 15 18 08.000   13.0    2.2    0.5   13.2 -1682672.0  4058467.0  -576293.8  4431101.0
1986 03 08 15 19 08.000   13.3    1.8    0.1   13.5 -1680991.0  4054221.0  -575684.2  4426494.0
1986 03 08 15 20 08.000   13.0    0.8    0.2   13.0 -1679309.9  4049974.8  -575074.8  4421887.5
1986 03 08 15 21 08.000   13.4    8.5    3.6   16.2 -1677628.6  4045729.0  -574465.2  4417281.0
1986 03 08 15 22 08.000   14.6    7.6    2.8   16.7 -1675947.2  4041483.0  -573855.8  4412674.0
1986 03 08 15 23 08.000   14.9    6.5    2.3   16.4 -1674265.8  4037237.0  -573246.4  4408067.5
1986 03 08 15 24 08.000   15.1    4.0    0.6   15.6 -1672584.0  4032991.2  -572636.9  4403461.0
1986 03 08 15 25 08.000   15.2    3.5   -0.3   15.6 -1670902.1  4028745.5  -572027.6  4398854.5
1986 03 08 15 26 09.000   15.2    2.6   -1.4   15.5 -1669192.1  4024429.2  -571408.0  4394171.0
1986 03 08 15 27 09.000   15.1    1.7   -1.9   15.3 -1667510.0  4020183.5  -570798.6  4389564.5
1986 03 08 15 28 09.000   15.3    1.6   -2.5   15.6 -1665827.8  4015938.0  -570189.3  4384958.0
1986 03 08 15 29 09.000   15.0    1.2   -1.7   15.2 -1664145.2  4011692.5  -569579.9  4380351.0
1986 03 08 15 30 09.000   15.6    1.4   -3.7   16.1 -1662462.6  4007447.2  -568970.6  4375745.0
1986 03 08 15 51 07.000   16.0    1.7   -3.1   16.4 -1627146.2  3918450.8  -556197.9  4279161.0
1986 03 08 15 52 07.000   11.8    0.4  -12.0   16.8 -1625460.1  3914206.5  -555589.0  4274554.0
1986 03 08 15 53 07.000   11.4   -0.1  -13.3   17.5 -1623773.9  3909962.5  -554980.1  4269947.5
1986 03 08 15 54 07.000   10.5    0.8  -14.5   17.9 -1622087.4  3905718.5  -554371.1  4265340.5
1986 03 08 15 55 07.000    9.6   -1.9  -13.1   16.4 -1620400.8  3901474.8  -553762.2  4260734.0
1986 03 08 15 56 08.000   10.7   -1.2  -13.5   17.3 -1618685.8  3897160.0  -553143.2  4256050.5
1986 03 08 15 57 08.000    9.2   -1.2  -14.7   17.3 -1616998.9  3892916.2  -552534.3  4251444.5
1986 03 08 15 58 08.000    9.1   -0.7  -15.1   17.6 -1615311.8  3888672.5  -551925.4  4246837.5
1986 03 08 15 59 08.000    9.2   -0.6  -15.1   17.7 -1613624.5  3884428.8  -551316.6  4242230.5
1986 03 08 16 00 08.000    7.5   -2.2  -13.7   15.8 -1611937.0  3880185.2  -550707.8  4237624.5
1986 03 08 16 01 08.000    7.7   -2.7  -13.6   15.8 -1610249.4  3875941.8  -550099.1  4233017.5
1986 03 08 16 02 08.000    9.5   -0.8  -14.9   17.7 -1608561.6  3871698.2  -549490.3  4228411.0
1986 03 08 16 03 08.000   11.0    1.4  -15.6   19.2 -1606873.8  3867455.0  -548881.6  4223804.5
1986 03 08 16 04 08.000   10.2    2.7  -17.1   20.1 -1605185.6  3863211.8  -548272.9  4219197.5
1986 03 08 16 05 08.000    8.5    3.9  -18.4   20.7 -1603497.4  3858968.5  -547664.1  4214591.0
1986 03 08 16 06 09.000    9.0    1.8  -16.1   18.6 -1601780.9  3854654.5  -547045.3  4209907.5
1986 03 08 16 07 09.000   11.1   -2.0   -5.0   12.4 -1600092.2  3850411.5  -546436.6  4205301.0
1986 03 08 16 08 09.000   10.5   -2.2   -0.4   10.8 -1598403.5  3846168.5  -545828.0  4200694.5
1986 03 08 16 09 09.000   11.3   -1.7   -1.0   11.5 -1596714.6  3841925.5  -545219.3  4196088.0
1986 03 08 16 10 09.000   11.6   -2.1   -1.4   11.9 -1595025.6  3837682.5  -544610.7  4191481.2
1986 03 08 16 12 07.000   15.1    2.5   -8.6   17.6 -1591703.4  3829338.2  -543413.6  4182421.5
1986 03 08 16 13 07.000   15.6    5.7  -12.3   20.7 -1590013.9  3825095.5  -542805.0  4177814.8
1986 03 08 16 14 07.000   13.8    8.8  -14.9   22.1 -1588324.1  3820852.8  -542196.4  4173208.0
1986 03 08 16 15 07.000   11.7    1.1   -7.7   14.0 -1586634.4  3816610.2  -541587.8  4168601.5
1986 03 08 16 16 08.000   12.0    4.9  -14.4   19.4 -1584916.1  3812297.0  -540969.0  4163918.2
1986 03 08 16 17 08.000   10.0    7.6  -17.4   21.5 -1583226.0  3808054.5  -540360.4  4159311.8
1986 03 08 16 18 08.000   10.9    7.4  -17.6   22.0 -1581535.8  3803812.0  -539751.9  4154705.0
1986 03 08 16 19 08.000   12.4    6.3  -16.6   21.7 -1579845.2  3799569.8  -539143.4  4150098.5
1986 03 08 16 20 08.000   11.5    5.1  -16.8   21.0 -1578154.6  3795327.2  -538534.9  4145491.5
1986 03 08 16 21 08.000   11.4    3.8  -16.3   20.3 -1576463.8  3791085.2  -537926.5  4140885.2
1986 03 08 16 22 08.000   10.2    6.2  -16.7   20.5 -1574772.8  3786843.0  -537318.1  4136278.5
1986 03 08 16 23 08.000   10.8    2.8  -16.0   19.5 -1573081.8  3782601.0  -536709.8  4131672.0
1986 03 08 16 24 08.000   11.5    2.7  -16.1   20.0 -1571390.4  3778359.0  -536101.4  4127065.5
1986 03 08 16 25 08.000   11.9    2.5  -15.7   19.8 -1569699.0  3774117.0  -535493.1  4122459.0
1986 03 08 16 26 09.000    9.8   -3.3  -10.3   14.6 -1567979.1  3769804.5  -534874.8  4117775.5
1986 03 08 16 27 09.000   10.5   -2.6  -11.8   16.0 -1566287.4  3765562.8  -534266.4  4113169.0
1986 03 08 16 28 09.000   11.7   -2.2  -11.3   16.4 -1564595.5  3761321.0  -533658.2  4108562.5
1986 03 08 16 29 09.000   12.6   -1.6  -11.1   16.9 -1562903.4  3757079.2  -533050.0  4103956.0
1986 03 08 16 30 09.000   12.2   -3.0   -9.5   15.8 -1561211.1  3752837.8  -532441.8  4099349.5
1986 03 08 16 31 07.000    8.7   -5.2   -8.0   12.9 -1559575.1  3748737.5  -531853.8  4094896.2
1986 03 08 16 32 07.000    9.8   -4.7   -7.1   13.0 -1557882.6  3744496.0  -531245.6  4090289.8
1986 03 08 16 33 07.000   10.9   -3.5   -6.8   13.3 -1556189.9  3740254.8  -530637.3  4085683.5
1986 03 08 16 34 07.000    9.8   -3.2   -2.6   10.6 -1554497.0  3736013.2  -530029.1  4081076.8
1986 03 08 16 35 07.000   11.2   -2.0   -6.5   13.1 -1552804.0  3731772.0  -529420.9  4076470.2
1986 03 08 16 36 08.000   13.1   -1.8   -6.4   14.7 -1551082.5  3727460.0  -528802.6  4071786.8
1986 03 08 16 37 08.000   13.0   -1.1   -6.2   14.4 -1549389.2  3723218.8  -528194.4  4067180.2
1986 03 08 16 38 08.000   11.7   -1.3   -8.0   14.3 -1547695.6  3718977.8  -527586.2  4062573.5
1986 03 08 16 39 08.000   10.7   -1.7  -11.5   15.9 -1546002.0  3714736.5  -526978.1  4057967.0
1986 03 08 16 40 08.000   11.4   -3.6   -7.0   13.9 -1544308.1  3710495.5  -526369.9  4053360.2
1986 03 08 16 41 08.000   11.9   -2.5   -4.6   13.0 -1542614.1  3706254.5  -525761.8  4048753.8
1986 03 08 16 42 08.000   10.1   -4.2   -4.4   11.8 -1540920.0  3702013.8  -525153.6  4044147.2
1986 03 08 16 43 08.000    9.5   -5.0   -5.1   11.9 -1539225.6  3697772.8  -524545.4  4039540.5
1986 03 08 16 44 08.000    9.9   -4.4   -7.6   13.2 -1537531.1  3693532.0  -523937.3  4034933.8
1986 03 08 16 45 08.000   11.7   -0.5   -6.5   13.4 -1535836.5  3689291.2  -523329.2  4030327.2
1986 03 08 16 46 09.000    6.3   -3.2  -10.2   12.4 -1534113.4  3684980.0  -522710.9  4025643.8
1986 03 08 16 47 09.000    6.7   -3.6   -3.3    8.3 -1532418.5  3680739.5  -522102.9  4021037.2
1986 03 08 16 48 09.000   12.7    0.7   -5.1   13.7 -1530723.4  3676498.8  -521494.8  4016430.5
1986 03 08 16 49 09.000   13.1    2.8   -1.6   13.5 -1529028.1  3672258.2  -520886.8  4011824.0
1986 03 08 16 50 09.000   15.4    4.2   -3.3   16.3 -1527332.6  3668018.0  -520278.8  4007217.5
1986 03 08 16 51 07.000    9.8   -2.6   -7.0   12.3 -1525693.8  3663919.0  -519691.2  4002764.2
1986 03 08 16 52 07.000    3.0   -2.4  -12.1   12.7 -1523998.0  3659678.5  -519083.3  3998157.5
1986 03 08 16 53 07.000    3.3    1.2  -15.0   15.4 -1522302.2  3655438.5  -518475.5  3993551.2
1986 03 08 16 54 07.000    0.9    4.4  -15.3   16.0 -1520606.2  3651198.2  -517867.7  3988944.5
1986 03 08 16 55 07.000    9.9   -2.1   -4.4   11.0 -1518910.1  3646958.0  -517259.9  3984338.0
1986 03 08 16 56 08.000   10.2   -1.8   -0.1   10.4 -1517185.5  3642647.2  -516642.0  3979654.5
1986 03 08 16 57 08.000   10.0   -2.2   -6.1   11.9 -1515489.1  3638407.2  -516034.2  3975048.0
1986 03 08 16 58 08.000    7.9   -3.5   -7.8   11.7 -1513792.5  3634167.5  -515426.5  3970441.5
1986 03 08 16 59 08.000    7.9   -4.0   -8.0   11.9 -1512095.6  3629927.5  -514818.7  3965834.8
1986 03 08 17 00 08.000    9.3   -2.5   -8.9   13.1 -1510398.8  3625687.8  -514211.0  3961228.2
1986 03 08 17 01 08.000    7.3   -4.1   -8.3   11.8 -1508701.5  3621448.0  -513603.1  3956621.8
1986 03 08 17 02 08.000   10.8   -1.8  -11.4   15.8 -1507004.2  3617208.2  -512995.2  3952014.8
1986 03 08 17 03 08.000   12.7   -0.8  -12.2   17.6 -1505306.8  3612968.5  -512387.4  3947408.0
1986 03 08 17 04 08.000   11.8   -1.1  -13.3   17.8 -1503609.0  3608729.0  -511779.6  3942801.5
1986 03 08 17 05 08.000    8.7   -1.9  -12.0   14.9 -1501911.1  3604489.5  -511171.8  3938194.8
1986 03 08 17 06 09.000    4.7   -5.0   -8.8   11.1 -1500184.9  3600179.2  -510553.8  3933511.2
1986 03 08 17 07 09.000    6.5   -5.0   -9.1   12.2 -1498486.8  3595940.0  -509946.1  3928904.8
1986 03 08 17 08 09.000    5.7   -6.0   -9.6   12.7 -1496788.4  3591700.5  -509338.3  3924297.8
1986 03 08 17 09 09.000    6.4   -5.7  -10.5   13.6 -1495089.9  3587461.2  -508730.6  3919691.0
1986 03 08 17 10 09.000    5.9   -5.3  -10.5   13.1 -1493391.2  3583222.2  -508122.8  3915084.8
1986 03 08 17 11 07.000    6.5   -4.7  -10.3   13.1 -1491749.0  3579124.2  -507535.5  3910631.2
1986 03 08 17 12 07.000    6.1   -5.4   -9.0   12.2 -1490050.0  3574885.2  -506927.9  3906024.8
1986 03 08 17 13 07.000    6.3   -5.1   -8.9   12.0 -1488351.0  3570646.2  -506320.3  3901418.2
1986 03 08 17 14 07.000    6.1   -4.6   -8.3   11.3 -1486651.6  3566407.5  -505712.8  3896811.8
1986 03 08 17 15 07.000    6.4   -4.8   -9.2   12.1 -1484952.2  3562168.8  -505105.3  3892205.0
1986 03 08 17 16 08.000    7.0   -4.7  -10.4   13.4 -1483224.2  3557859.2  -504487.7  3887521.8
1986 03 08 17 17 08.000    2.9   -5.1   -6.2    8.6 -1481524.5  3553620.5  -503880.2  3882915.0
1986 03 08 17 18 08.000    2.6   -4.8   -5.7    7.9 -1479824.6  3549382.0  -503272.8  3878308.5
1986 03 08 17 19 08.000    2.0   -4.6   -5.5    7.4 -1478124.5  3545143.2  -502665.4  3873701.8
1986 03 08 17 20 08.000    2.3   -5.0   -6.7    8.7 -1476424.2  3540904.8  -502058.0  3869095.2
1986 03 08 17 21 08.000    2.5   -6.2   -7.3    9.9 -1474723.9  3536666.5  -501450.7  3864488.8
1986 03 08 17 22 08.000    1.9   -7.3   -7.3   10.5 -1473023.2  3532428.0  -500843.3  3859881.8
1986 03 08 17 23 08.000    1.7   -7.1   -6.5    9.8 -1471322.5  3528189.8  -500236.0  3855275.5
1986 03 08 17 24 08.000    1.5   -6.9   -6.6    9.7 -1469621.6  3523951.5  -499628.7  3850669.0
