YYYY MM DD hh mm ss.sss   BX CSE BY CSE BZ CSE BT CSE X CSE      Y CSE      Z CSE      R CSE      
                           nT     nT     nT     nT    km         km         km         km         
1986 03 08 08 16 30.000    7.2    2.4   -6.7   10.1 -2377048.2  5854228.5  -834809.9  6373324.0
1986 03 08 08 17 30.000    7.3    2.6   -6.7   10.3 -2375435.2  5849956.5  -834193.3  6368717.5
1986 03 08 08 18 30.000    7.0    2.2   -7.5   10.5 -2373822.0  5845684.5  -833576.8  6364111.0
1986 03 08 08 33 30.000   12.2    4.4  -10.5   16.7 -2349608.8  5781615.0  -824329.4  6295018.0
1986 03 08 08 34 30.000   12.1    3.8   -9.1   15.6 -2347993.0  5777344.5  -823712.9  6290412.0
1986 03 08 08 35 30.000   11.1    5.8   -9.1   15.5 -2346377.2  5773073.5  -823096.6  6285806.0
1986 03 08 08 36 30.000   10.8    7.1   -9.1   15.8 -2344761.2  5768802.5  -822480.2  6281199.0
1986 03 08 08 37 30.000   10.8    7.5   -9.5   16.3 -2343145.0  5764531.5  -821863.8  6276592.5
1986 03 08 08 38 30.000   11.2    7.3   -8.5   15.8 -2341528.8  5760261.0  -821247.4  6271986.0
1986 03 08 08 39 30.000   11.1    7.1   -8.5   15.7 -2339912.2  5755990.5  -820631.1  6267380.0
1986 03 08 08 40 30.000   10.9    6.5   -8.3   15.2 -2338295.8  5751719.5  -820014.9  6262773.0
1986 03 08 08 41 30.000   10.9    6.3   -8.4   15.1 -2336679.0  5747449.5  -819398.7  6258167.5
1986 03 08 08 42 30.000   10.8    6.3   -8.4   15.1 -2335062.0  5743179.0  -818782.6  6253561.0
1986 03 08 08 43 30.000   10.8    7.2   -8.6   15.6 -2333445.0  5738908.5  -818166.4  6248955.0
1986 03 08 08 44 30.000   10.5    9.4   -8.6   16.5 -2331827.8  5734638.5  -817550.3  6244348.5
1986 03 08 08 45 30.000   10.7    6.4   -8.5   15.1 -2330210.2  5730368.0  -816934.2  6239742.0
