                                    Vega-2 spacecraft trajectory   
Time                           Solar Ecliptic                    HelioGraphic Inertial                              
YYYY-MM-DD hh:mm     Xse              Yse            Zse           R      Azim.  Elav.
                      km              km             km            au     degr.  degr. 
1985-11-08 21:00 -9.2071568E+007  1.2982102E+008  7.4694210E+006   1.065  49.77  -2.85
1985-11-09 21:00 -9.3958464E+007  1.2858974E+008  7.5411205E+006   1.066  50.58  -2.89
1985-11-10 21:00 -9.5820112E+007  1.2732858E+008  7.6125615E+006   1.066  51.38  -2.93
1985-11-11 21:00 -9.7658288E+007  1.2603651E+008  7.6809515E+006   1.067  52.19  -2.97
1985-11-12 21:00 -9.9472336E+007  1.2471395E+008  7.7490615E+006   1.068  53.00  -3.01
1985-11-13 21:00 -1.0126394E+008  1.2335974E+008  7.8140960E+006   1.068  53.80  -3.05
1985-11-14 21:00 -1.0303037E+008  1.2197610E+008  7.8760425E+006   1.069  54.61  -3.09
1985-11-15 21:00 -1.0477100E+008  1.2056349E+008  7.9376770E+006   1.069  55.41  -3.13
1985-11-16 21:00 -1.0648738E+008  1.1912058E+008  7.9989910E+006   1.069  56.21  -3.16
1985-11-17 21:00 -1.0817698E+008  1.1764982E+008  8.0571870E+006   1.070  57.02  -3.20
1985-11-18 21:00 -1.0984132E+008  1.1614988E+008  8.1122540E+006   1.070  57.82  -3.23
1985-11-19 21:00 -1.1147786E+008  1.1462318E+008  8.1641835E+006   1.070  58.62  -3.27
1985-11-20 21:00 -1.1308798E+008  1.1306825E+008  8.2157575E+006   1.070  59.42  -3.30
1985-11-21 21:00 -1.1467116E+008  1.1148558E+008  8.2669685E+006   1.071  60.22  -3.34
1985-11-22 21:00 -1.1622696E+008  1.0987579E+008  8.3150185E+006   1.071  61.03  -3.37
1985-11-23 21:00 -1.1775487E+008  1.0823944E+008  8.3599005E+006   1.071  61.83  -3.40
1985-11-24 21:00 -1.1925427E+008  1.0657695E+008  8.4043990E+006   1.071  62.63  -3.43
1985-11-25 21:00 -1.2072296E+008  1.0489109E+008  8.4457170E+006   1.071  63.43  -3.46
1985-11-26 21:00 -1.2216402E+008  1.0317814E+008  8.4866410E+006   1.070  64.23  -3.49
1985-11-27 21:00 -1.2357711E+008  1.0143878E+008  8.5215840E+006   1.070  65.04  -3.52
1985-11-28 21:00 -1.2495787E+008  9.9677600E+007  8.5589130E+006   1.070  65.84  -3.55
1985-11-29 21:00 -1.2630959E+008  9.7891048E+007  8.5930440E+006   1.070  66.64  -3.58
1985-11-30 21:00 -1.2763174E+008  9.6079664E+007  8.6239730E+006   1.069  67.44  -3.61
1985-12-01 21:00 -1.2892216E+008  9.4246224E+007  8.6517000E+006   1.069  68.25  -3.63
1985-12-02 21:00 -1.3018030E+008  9.2391280E+007  8.6790080E+006   1.069  69.05  -3.66
1985-12-03 21:00 -1.3140736E+008  9.0513152E+007  8.7058950E+006   1.068  69.86  -3.68
1985-12-04 21:00 -1.3260310E+008  8.8612600E+007  8.7267890E+006   1.068  70.66  -3.71
1985-12-05 21:00 -1.3376666E+008  8.6689952E+007  8.7500420E+006   1.067  71.47  -3.73
1985-12-06 21:00 -1.3489797E+008  8.4746064E+007  8.7673050E+006   1.067  72.28  -3.76
1985-12-07 21:00 -1.3599632E+008  8.2781368E+007  8.7841410E+006   1.066  73.09  -3.78
1985-12-08 21:00 -1.3705998E+008  8.0798952E+007  8.7977730E+006   1.065  73.90  -3.80
1985-12-09 21:00 -1.3809126E+008  7.8794616E+007  8.8109780E+006   1.064  74.71  -3.82
1985-12-10 21:00 -1.3908845E+008  7.6771440E+007  8.8209810E+006   1.064  75.52  -3.84
1985-12-11 21:00 -1.4005098E+008  7.4730000E+007  8.8305580E+006   1.063  76.33  -3.86
1985-12-12 21:00 -1.4098002E+008  7.2668640E+007  8.8341710E+006   1.062  77.15  -3.88
1985-12-13 21:00 -1.4187358E+008  7.0590312E+007  8.8373660E+006   1.061  77.97  -3.90
1985-12-14 21:00 -1.4273251E+008  6.8493200E+007  8.8401400E+006   1.060  78.78  -3.92
1985-12-15 21:00 -1.4355533E+008  6.6380524E+007  8.8397330E+006   1.059  79.60  -3.93
1985-12-16 21:00 -1.4434280E+008  6.4250460E+007  8.8361540E+006   1.058  80.43  -3.95
1985-12-17 21:00 -1.4509328E+008  6.2106140E+007  8.8321660E+006   1.057  81.25  -3.96
1985-12-18 21:00 -1.4580766E+008  5.9945800E+007  8.8250170E+006   1.055  82.07  -3.98
1985-12-19 21:00 -1.4648653E+008  5.7767564E+007  8.8147180E+006   1.054  82.90  -3.99
1985-12-20 21:00 -1.4712747E+008  5.5577232E+007  8.8012800E+006   1.053  83.73  -4.00
1985-12-21 21:00 -1.4773098E+008  5.3372904E+007  8.7874540E+006   1.052  84.56  -4.02
1985-12-22 21:00 -1.4829670E+008  5.1155312E+007  8.7732450E+006   1.050  85.39  -4.03
1985-12-23 21:00 -1.4882544E+008  4.8922684E+007  8.7531840E+006   1.049  86.23  -4.04
1985-12-24 21:00 -1.4931565E+008  4.6678232E+007  8.7327570E+006   1.047  87.07  -4.05
1985-12-25 21:00 -1.4977670E+008  4.4425604E+007  8.7097970E+006   1.046  87.91  -4.05
1985-12-26 21:00 -1.5018021E+008  4.2154364E+007  8.6853710E+006   1.044  88.75  -4.06
1985-12-27 21:00 -1.5055403E+008  3.9876496E+007  8.6557160E+006   1.043  89.59  -4.07
1985-12-28 21:00 -1.5088874E+008  3.7587220E+007  8.6257320E+006   1.041  90.44  -4.07
1985-12-29 21:00 -1.5118392E+008  3.5287316E+007  8.5954230E+006   1.039  91.29  -4.08
1985-12-30 21:00 -1.5143894E+008  3.2980270E+007  8.5593830E+006   1.038  92.14  -4.08
1985-12-31 21:00 -1.5165386E+008  3.0664180E+007  8.5230440E+006   1.036  93.00  -4.09
1986-01-01 21:00 -1.5182882E+008  2.8337200E+007  8.4864110E+006   1.034  93.86  -4.09
1986-01-02 21:00 -1.5196277E+008  2.6005500E+007  8.4441080E+006   1.032  94.72  -4.09
1986-01-03 21:00 -1.5205610E+008  2.3664546E+007  8.4015410E+006   1.030  95.59  -4.09
1986-01-04 21:00 -1.5210779E+008  2.1320508E+007  8.3560345E+006   1.028  96.46  -4.09
1986-01-05 21:00 -1.5211840E+008  1.8968918E+007  8.3076105E+006   1.026  97.33  -4.09
1986-01-06 21:00 -1.5208758E+008  1.6610634E+007  8.2562910E+006   1.024  98.20  -4.09
1986-01-07 21:00 -1.5201458E+008  1.4249158E+007  8.2047635E+006   1.022  99.08  -4.08
1986-01-08 21:00 -1.5189957E+008  1.1882733E+007  8.1503755E+006   1.020  99.97  -4.08
1986-01-09 21:00 -1.5174208E+008  9.5148960E+006  8.0931510E+006   1.018 100.85  -4.07
1986-01-10 21:00 -1.5154208E+008  7.1438920E+006  8.0331145E+006   1.016 101.74  -4.07
1986-01-11 21:00 -1.5129931E+008  4.7706320E+006  7.9702915E+006   1.013 102.64  -4.06
1986-01-12 21:00 -1.5101341E+008  2.3960352E+006  7.9073440E+006   1.011 103.53  -4.05
1986-01-13 21:00 -1.5068430E+008  1.8409600E+004  7.8416505E+006   1.009 104.44  -4.04
1986-01-14 21:00 -1.5031174E+008 -2.3560375E+006  7.7732375E+006   1.006 105.34  -4.03
1986-01-15 21:00 -1.4989554E+008 -4.7316070E+006  7.7021340E+006   1.004 106.25  -4.02
1986-01-16 21:00 -1.4943552E+008 -7.1047085E+006  7.6283670E+006   1.001 107.17  -4.01
1986-01-17 21:00 -1.4893248E+008 -9.4770380E+006  7.5311290E+006   0.999 108.09  -4.00
1986-01-18 21:00 -1.4838298E+008 -1.1844780E+007  7.4781570E+006   0.996 109.01  -3.98
1986-01-19 21:00 -1.4779035E+008 -1.4209765E+007  7.3965640E+006   0.994 109.94  -3.96
1986-01-20 21:00 -1.4715299E+008 -1.6570872E+007  7.3150125E+006   0.991 110.88  -3.95
1986-01-21 21:00 -1.4647091E+008 -1.8927074E+007  7.2309355E+006   0.988 111.82  -3.93
1986-01-22 21:00 -1.4574395E+008 -2.1277330E+007  7.1443640E+006   0.986 112.76  -3.91
1986-01-23 21:00 -1.4497203E+008 -2.3620586E+007  7.0553305E+006   0.983 113.71  -3.89
1986-01-24 21:00 -1.4415499E+008 -2.5955758E+007  6.9664250E+006   0.980 114.66  -3.87
1986-01-25 21:00 -1.4329250E+008 -2.8284324E+007  6.8725600E+006   0.977 115.62  -3.85
1986-01-26 21:00 -1.4238475E+008 -3.0602632E+007  6.7788750E+006   0.975 116.59  -3.82
1986-01-27 21:00 -1.4143139E+008 -3.2912118E+007  6.6803135E+006   0.972 117.56  -3.80
1986-01-28 21:00 -1.4043277E+008 -3.5209140E+007  6.5819860E+006   0.969 118.54  -3.77
1986-01-29 21:00 -1.3938787E+008 -3.7497532E+007  6.4788675E+006   0.966 119.52  -3.74
1986-01-30 21:00 -1.3829771E+008 -3.9771196E+007  6.3760385E+006   0.963 120.51  -3.71
1986-01-31 21:00 -1.3716110E+008 -4.2033848E+007  6.2710090E+006   0.960 121.50  -3.68
1986-02-01 21:00 -1.3597883E+008 -4.4281924E+007  6.1613185E+006   0.957 122.50  -3.65
1986-02-02 21:00 -1.3475078E+008 -4.6514196E+007  6.0520045E+006   0.954 123.51  -3.62
1986-02-03 21:00 -1.3347718E+008 -4.8729516E+007  5.9406000E+006   0.951 124.53  -3.58
1986-02-04 21:00 -1.3215730E+008 -5.0929020E+007  5.8271420E+006   0.948 125.55  -3.55
1986-02-05 21:00 -1.3079130E+008 -5.3111496E+007  5.7092050E+006   0.944 126.57  -3.51
1986-02-06 21:00 -1.2937909E+008 -5.5275624E+007  5.5917620E+006   0.941 127.61  -3.47
1986-02-07 21:00 -1.2792091E+008 -5.7420180E+007  5.4723800E+006   0.938 128.65  -3.43
1986-02-08 21:00 -1.2641799E+008 -5.9541700E+007  5.3510970E+006   0.935 129.69  -3.39
1986-02-09 21:00 -1.2486858E+008 -6.1643412E+007  5.2255215E+006   0.932 130.75  -3.35
1986-02-10 21:00 -1.2327267E+008 -6.3723892E+007  5.1005610E+006   0.928 131.81  -3.30
1986-02-11 21:00 -1.2163174E+008 -6.5779756E+007  4.9714025E+006   0.925 132.88  -3.26
1986-02-12 21:00 -1.1994598E+008 -6.7809672E+007  4.8429205E+006   0.922 133.96  -3.21
1986-02-13 21:00 -1.1821217E+008 -6.9815832E+007  4.7078850E+006   0.918 135.05  -3.16
1986-02-14 21:00 -1.1643546E+008 -7.1794144E+007  4.5760465E+006   0.915 136.14  -3.11
1986-02-15 21:00 -1.1461256E+008 -7.3746736E+007  4.4402005E+006   0.912 137.24  -3.06
1986-02-16 21:00 -1.1274635E+008 -7.5668176E+007  4.3027815E+006   0.908 138.35  -3.01
1986-02-17 21:00 -1.1083458E+008 -7.7561088E+007  4.1661898E+006   0.905 139.47  -2.95
1986-02-18 21:00 -1.0887912E+008 -7.9422224E+007  4.0257328E+006   0.901 140.59  -2.90
1986-02-19 21:00 -1.0688044E+008 -8.1250224E+007  3.8838185E+006   0.898 141.73  -2.84
1986-02-20 21:00 -1.0483762E+008 -8.3045624E+007  3.7404852E+006   0.894 142.87  -2.78
1986-02-21 21:00 -1.0275119E+008 -8.4807016E+007  3.5957700E+006   0.891 144.02  -2.72
1986-02-22 21:00 -1.0062168E+008 -8.6533024E+007  3.4497105E+006   0.887 145.18  -2.66
1986-02-23 21:00 -9.8449728E+007 -8.8222288E+007  3.3000358E+006   0.884 146.35  -2.59
1986-02-24 21:00 -9.6234304E+007 -8.9875064E+007  3.1514058E+006   0.880 147.53  -2.53
1986-02-25 21:00 -9.3979256E+007 -9.1486624E+007  3.0015398E+006   0.877 148.72  -2.46
1986-02-26 21:00 -9.1682128E+007 -9.3058944E+007  2.8504722E+006   0.873 149.92  -2.39
1986-02-27 21:00 -8.9343648E+007 -9.4590632E+007  2.6959668E+006   0.870 151.12  -2.32
1986-02-28 21:00 -8.6966152E+007 -9.6078664E+007  2.5426075E+006   0.866 152.34  -2.25
1986-03-01 21:00 -8.4547160E+007 -9.7524776E+007  2.3858942E+006   0.863 153.57  -2.18
1986-03-02 21:00 -8.2090808E+007 -9.8924512E+007  2.2303732E+006   0.859 154.80  -2.10
1986-03-03 21:00 -7.9596336E+007 -1.0027809E+008  2.0715781E+006   0.856 156.05  -2.02
1986-03-04 21:00 -7.7064616E+007 -1.0158410E+008  1.9140169E+006   0.852 157.30  -1.94
1986-03-05 21:00 -7.4494848E+007 -1.0284255E+008  1.7532578E+006   0.849 158.57  -1.86
1986-03-06 21:00 -7.1889736E+007 -1.0405073E+008  1.5937692E+006   0.845 159.85  -1.78
1986-03-07 21:00 -6.9248528E+007 -1.0520860E+008  1.4311536E+006   0.842 161.14  -1.70
1986-03-08 21:00 -6.6574076E+007 -1.0631357E+008  1.2698405E+006   0.839 162.43  -1.61
1986-03-09 21:00 -6.3865640E+007 -1.0736554E+008  1.1076455E+006   0.835 163.74  -1.53
1986-03-10 21:00 -6.1124328E+007 -1.0836320E+008  9.4458960E+005   0.832 165.06  -1.44
1986-03-11 21:00 -5.8353248E+007 -1.0930429E+008  7.8069300E+005   0.828 166.39  -1.35
1986-03-12 21:00 -5.5551636E+007 -1.1018850E+008  6.1597220E+005   0.825 167.73  -1.26
1986-03-13 21:00 -5.2718820E+007 -1.1101557E+008  4.5258890E+005   0.822 169.08  -1.17
1986-03-14 21:00 -4.9859936E+007 -1.1178242E+008  2.8625830E+005   0.818 170.44  -1.07
1986-03-15 21:00 -4.6972412E+007 -1.1248964E+008  1.2127370E+005   0.815 171.82  -0.98
1986-03-16 21:00 -4.4059524E+007 -1.1313518E+008 -4.2380700E+004   0.812 173.20  -0.88
1986-03-17 21:00 -4.1122664E+007 -1.1371791E+008 -2.0683290E+005   0.808 174.60  -0.78
1986-03-18 21:00 -3.8163244E+007 -1.1423678E+008 -3.7207710E+005   0.805 176.01  -0.69
1986-03-19 21:00 -3.5182712E+007 -1.1469075E+008 -5.3601590E+005   0.802 177.42  -0.59
1986-03-20 21:00 -3.2180540E+007 -1.1507938E+008 -7.0075820E+005   0.799 178.85  -0.48
1986-03-21 21:00 -2.9160232E+007 -1.1540102E+008 -8.6422780E+005   0.796 180.29  -0.38
1986-03-22 21:00 -2.6121304E+007 -1.1565522E+008 -1.0285215E+006   0.793 181.75  -0.28
1986-03-23 21:00 -2.3069354E+007 -1.1584011E+008 -1.1915838E+006   0.790 183.21  -0.17
1986-03-24 21:00 -2.0001936E+007 -1.1595571E+008 -1.3534464E+006   0.787 184.68  -0.07
1986-03-25 21:00 -1.6922680E+007 -1.1600075E+008 -1.5141431E+006   0.784 186.17   0.04
1986-03-26 21:00 -1.3833222E+007 -1.1597446E+008 -1.6737101E+006   0.781 187.66   0.14
1986-03-27 21:00 -1.0735216E+007 -1.1587603E+008 -1.8342161E+006   0.778 189.17   0.25
1986-03-28 21:00 -7.6303435E+006 -1.1570484E+008 -1.9916316E+006   0.775 190.69   0.36
1986-03-29 21:00 -4.5202965E+006 -1.1546018E+008 -2.1480370E+006   0.773 192.22   0.47
1986-03-30 21:00 -1.4087969E+006 -1.1514135E+008 -2.3034762E+006   0.770 193.76   0.58
1986-03-31 21:00  1.7044475E+006 -1.1474790E+008 -2.4579950E+006   0.767 195.31   0.69
1986-04-01 21:00  4.8176945E+006 -1.1427929E+008 -2.6096450E+006   0.765 196.87   0.80
1986-04-02 21:00  7.9271980E+006 -1.1373506E+008 -2.7604848E+006   0.762 198.44   0.91
1986-04-03 21:00  1.1029243E+007 -1.1311506E+008 -2.9085818E+006   0.760 200.02   1.02
1986-04-04 21:00  1.4126032E+007 -1.1241862E+008 -3.0559850E+006   0.758 201.61   1.13
1986-04-05 21:00  1.7213822E+007 -1.1164558E+008 -3.2007762E+006   0.755 203.21   1.24
1986-04-06 21:00  2.0288908E+007 -1.1079604E+008 -3.3430288E+006   0.753 204.82   1.35
1986-04-07 21:00  2.3349556E+007 -1.0986988E+008 -3.4828155E+006   0.751 206.44   1.45
1986-04-08 21:00  2.6394010E+007 -1.0886695E+008 -3.6221652E+006   0.749 208.07   1.56
1986-04-09 21:00  2.9420554E+007 -1.0778730E+008 -3.7572358E+006   0.747 209.71   1.67
1986-04-10 21:00  3.2425578E+007 -1.0663146E+008 -3.8881162E+006   0.745 211.35   1.78
1986-04-11 21:00  3.5407348E+007 -1.0539942E+008 -4.0187750E+006   0.744 213.00   1.88
1986-04-12 21:00  3.8364204E+007 -1.0409142E+008 -4.1453990E+006   0.742 214.66   1.99
1986-04-13 21:00  4.1292616E+007 -1.0270825E+008 -4.2700055E+006   0.741 216.33   2.09
1986-04-14 21:00  4.4190976E+007 -1.0125029E+008 -4.3907375E+006   0.739 218.01   2.19
1986-04-15 21:00  4.7057644E+007 -9.9717832E+007 -4.5076775E+006   0.738 219.69   2.29
1986-04-16 21:00  4.9889220E+007 -9.8111984E+007 -4.6228250E+006   0.736 221.38   2.39
1986-04-17 21:00  5.2684204E+007 -9.6433352E+007 -4.7324125E+006   0.735 223.07   2.49
1986-04-18 21:00  5.5439288E+007 -9.4683192E+007 -4.8403525E+006   0.734 224.77   2.58
1986-04-19 21:00  5.8153064E+007 -9.2862264E+007 -4.9428845E+006   0.733 226.48   2.68
1986-04-20 21:00  6.0823932E+007 -9.0971008E+007 -5.0439035E+006   0.732 228.19   2.77
1986-04-21 21:00  6.3447380E+007 -8.9012368E+007 -5.1396530E+006   0.732 229.90   2.86
1986-04-22 21:00  6.6023556E+007 -8.6985976E+007 -5.2321060E+006   0.731 231.61   2.94
1986-04-23 21:00  6.8551096E+007 -8.4892616E+007 -5.3194170E+006   0.730 233.34   3.03
1986-04-24 21:00  7.1025616E+007 -8.2735408E+007 -5.4035460E+006   0.730 235.06   3.11
1986-04-25 21:00  7.3445872E+007 -8.0515296E+007 -5.4845425E+006   0.729 236.78   3.19
1986-04-26 21:00  7.5809336E+007 -7.8234632E+007 -5.5605515E+006   0.729 238.51   3.26
1986-04-27 21:00  7.8116216E+007 -7.5893104E+007 -5.6316145E+006   0.729 240.24   3.34
1986-04-28 21:00  8.0362592E+007 -7.3494384E+007 -5.6996705E+006   0.729 241.97   3.41
1986-04-29 21:00  8.2548776E+007 -7.1038248E+007 -5.7628490E+006   0.729 243.70   3.47
1986-04-30 21:00  8.4671184E+007 -6.8528680E+007 -5.8211765E+006   0.729 245.43   3.54
1986-05-01 21:00  8.6728920E+007 -6.5966928E+007 -5.8746725E+006   0.729 247.15   3.60
1986-05-02 21:00  8.8719848E+007 -6.3355708E+007 -5.9252535E+006   0.730 248.88   3.65
1986-05-03 21:00  9.0644320E+007 -6.0694828E+007 -5.9710270E+006   0.730 250.60   3.71
1986-05-04 21:00  9.2499336E+007 -5.7988736E+007 -6.0119955E+006   0.731 252.33   3.76
1986-05-05 21:00  9.4284224E+007 -5.5238832E+007 -6.0481555E+006   0.732 254.05   3.80
1986-05-06 21:00  9.5998280E+007 -5.2446516E+007 -6.0794970E+006   0.732 255.76   3.85
1986-05-07 21:00  9.7639928E+007 -4.9614872E+007 -6.1060045E+006   0.733 257.48   3.89
1986-05-08 21:00  9.9208608E+007 -4.6745376E+007 -6.1276570E+006   0.734 259.19   3.92
1986-05-09 21:00  1.0070286E+008 -4.3841200E+007 -6.1463435E+006   0.735 260.89   3.96
1986-05-10 21:00  1.0212166E+008 -4.0905716E+007 -6.1601210E+006   0.737 262.59   3.98
1986-05-11 21:00  1.0346545E+008 -3.7938760E+007 -6.1670285E+006   0.738 264.28   4.01
1986-05-12 21:00  1.0473290E+008 -3.4943568E+007 -6.1727925E+006   0.739 265.97   4.03
1986-05-13 21:00  1.0592346E+008 -3.1923702E+007 -6.1715950E+006   0.741 267.65   4.05
1986-05-14 21:00  1.0703678E+008 -2.8880742E+007 -6.1672405E+006   0.742 269.32   4.07
1986-05-15 21:00  1.0807286E+008 -2.5816362E+007 -6.1577450E+006   0.744 270.99   4.08
1986-05-16 21:00  1.0903155E+008 -2.2732204E+007 -6.1430455E+006   0.746 272.65   4.09
1986-05-17 21:00  1.0991196E+008 -1.9633724E+007 -6.1250240E+006   0.747 274.30   4.09
1986-05-18 21:00  1.1071457E+008 -1.6520723E+007 -6.1036240E+006   0.749 275.94   4.09
1986-05-19 21:00  1.1143956E+008 -1.3394897E+007 -6.0768280E+006   0.751 277.58   4.09
1986-05-20 21:00  1.1208662E+008 -1.0261832E+007 -6.0445580E+006   0.753 279.20   4.08
1986-05-21 21:00  1.1265611E+008 -7.1212805E+006 -6.0106715E+006   0.756 280.82   4.07
1986-05-22 21:00  1.1314849E+008 -3.9749590E+006 -5.9711670E+006   0.758 282.42   4.06
1986-05-23 21:00  1.1356392E+008 -8.2455320E+005 -5.9279395E+006   0.760 284.02   4.05
1986-05-24 21:00  1.1390292E+008  2.3242722E+006 -5.8789280E+006   0.763 285.61   4.03
1986-05-25 21:00  1.1416582E+008  5.4717945E+006 -5.8280300E+006   0.765 287.19   4.01
1986-05-26 21:00  1.1435325E+008  8.6163280E+006 -5.7731875E+006   0.768 288.75   3.98
1986-05-27 21:00  1.1446594E+008  1.1754201E+007 -5.7143245E+006   0.770 290.31   3.96
1986-05-28 21:00  1.1450438E+008  1.4885748E+007 -5.6513630E+006   0.773 291.86   3.93
1986-05-29 21:00  1.1446936E+008  1.8007306E+007 -5.5862465E+006   0.775 293.39   3.90
1986-05-30 21:00  1.1436187E+008  2.1117276E+007 -5.5148575E+006   0.778 294.91   3.86
1986-05-31 21:00  1.1418244E+008  2.4213994E+007 -5.4432045E+006   0.781 296.43   3.82
1986-06-01 21:00  1.1393220E+008  2.7295924E+007 -5.3651180E+006   0.784 297.93   3.79
1986-06-02 21:00  1.1361228E+008  3.0359448E+007 -5.2866505E+006   0.787 299.42   3.74
1986-06-03 21:00  1.1322277E+008  3.3407034E+007 -5.2036480E+006   0.790 300.90   3.70
1986-06-04 21:00  1.1276572E+008  3.6433204E+007 -5.1160280E+006   0.793 302.37   3.66
1986-06-05 21:00  1.1224142E+008  3.9438388E+007 -5.0278620E+006   0.796 303.82   3.61
1986-06-06 21:00  1.1165177E+008  4.2419216E+007 -4.9349490E+006   0.799 305.27   3.56
1986-06-07 21:00  1.1099711E+008  4.5376196E+007 -4.8393015E+006   0.802 306.70   3.51
1986-06-08 21:00  1.1027852E+008  4.8307912E+007 -4.7408635E+006   0.805 308.12   3.45
1986-06-09 21:00  1.0949793E+008  5.1211036E+007 -4.6416905E+006   0.809 309.53   3.40
1986-06-10 21:00  1.0865584E+008  5.4086220E+007 -4.5375185E+006   0.812 310.93   3.34
1986-06-11 21:00  1.0775329E+008  5.6932092E+007 -4.4325230E+006   0.815 312.32   3.28
1986-06-12 21:00  1.0680046E+008  5.9749928E+007 -4.3248610E+006   0.819 313.70   3.22
1986-06-13 21:00  1.0577408E+008  6.2527208E+007 -4.2135285E+006   0.822 315.06   3.16
1986-06-14 21:00  1.0469893E+008  6.5275876E+007 -4.1015835E+006   0.825 316.42   3.10
1986-06-15 21:00  1.0356851E+008  6.7990408E+007 -3.9865245E+006   0.829 317.76   3.04
1986-06-16 21:00  1.0238418E+008  7.0669680E+007 -3.8683048E+006   0.832 319.09   2.97
1986-06-17 21:00  1.0114843E+008  7.3310768E+007 -3.7512395E+006   0.835 320.41   2.91
1986-06-18 21:00  9.9860336E+007  7.5916312E+007 -3.6287702E+006   0.839 321.72   2.84
1986-06-19 21:00  9.8522360E+007  7.8483400E+007 -3.5074225E+006   0.842 323.02   2.77
1986-06-20 21:00  9.7134648E+007  8.1012872E+007 -3.3827940E+006   0.846 324.31   2.70
1986-06-21 21:00  9.5701392E+007  8.3500352E+007 -3.2570608E+006   0.849 325.59   2.64
1986-06-22 21:00  9.4219744E+007  8.5950048E+007 -3.1279855E+006   0.853 326.85   2.57
1986-06-23 21:00  9.2695488E+007  8.8356056E+007 -3.0000000E+006   0.856 328.11   2.50
1986-06-24 21:00  9.1125616E+007  9.0722536E+007 -2.8686345E+006   0.860 329.36   2.42
1986-06-25 21:00  8.9514592E+007  9.3045424E+007 -2.7383605E+006   0.863 330.59   2.35
1986-06-26 21:00  8.7860704E+007  9.5327176E+007 -2.6046735E+006   0.867 331.82   2.28
1986-06-27 21:00  8.6168664E+007  9.7563960E+007 -2.4698125E+006   0.870 333.03   2.21
1986-06-28 21:00  8.4436576E+007  9.9758160E+007 -2.3337732E+006   0.874 334.24   2.13
1986-06-29 21:00  8.2667544E+007  1.0190759E+008 -2.1988430E+006   0.877 335.44   2.06
1986-06-30 21:00  8.0863128E+007  1.0401176E+008 -2.0604485E+006   0.881 336.62   1.99
1986-07-01 21:00  7.9022920E+007  1.0607146E+008 -1.9231785E+006   0.884 337.80   1.91
1986-07-02 21:00  7.7148376E+007  1.0808618E+008 -1.7824251E+006   0.888 338.97   1.84
1986-07-03 21:00  7.5242776E+007  1.1005405E+008 -1.6428160E+006   0.891 340.12   1.77
1986-07-04 21:00  7.3303776E+007  1.1197725E+008 -1.5020446E+006   0.895 341.27   1.69
1986-07-05 21:00  7.1336656E+007  1.1385275E+008 -1.3624590E+006   0.898 342.41   1.62
1986-07-06 21:00  6.9338936E+007  1.1568274E+008 -1.2193822E+006   0.902 343.54   1.54
1986-07-07 21:00  6.7313992E+007  1.1746553E+008 -1.0775181E+006   0.905 344.67   1.47
1986-07-08 21:00  6.5261192E+007  1.1920201E+008 -9.3452740E+005   0.908 345.78   1.39
1986-07-09 21:00  6.3181896E+007  1.2089178E+008 -7.9279710E+005   0.912 346.89   1.32
1986-07-10 21:00  6.1079600E+007  1.2253350E+008 -6.4997150E+005   0.915 347.99   1.24
1986-07-11 21:00  5.8953588E+007  1.2412802E+008 -5.0605840E+005   0.919 349.07   1.17
1986-07-12 21:00  5.6805220E+007  1.2567508E+008 -3.6106630E+005   0.922 350.16   1.09
1986-07-13 21:00  5.4635852E+007  1.2717451E+008 -2.1742040E+005   0.925 351.23   1.02
1986-07-14 21:00  5.2444604E+007  1.2862707E+008 -7.2731900E+004   0.929 352.30   0.95
1986-07-15 21:00  5.0235020E+007  1.3003166E+008  7.0555600E+004   0.932 353.35   0.87
1986-07-16 21:00  4.8006168E+007  1.3138904E+008  2.1484730E+005   0.935 354.41   0.80
