time,flux,err,mask,centroid_y,psf_width_y
5.991403857950121892e+04,nan,3.038727556244327690e-04,1.000000000000000000e+00,2.537931102162522379e+01,9.913576332109403921e-01
5.991403869916381518e+04,1.002601494196396326e+00,3.059762472693226517e-04,0.000000000000000000e+00,2.538084609543228609e+01,9.936954693337693989e-01
5.991403881882641872e+04,nan,3.060635453779188514e-04,1.000000000000000000e+00,2.538442740717617241e+01,9.961098453843123535e-01
5.991403893848901498e+04,nan,3.062522571255204412e-04,1.000000000000000000e+00,2.538562641276401521e+01,9.953071534915725049e-01
5.991403905815161852e+04,1.002872051999797565e+00,3.060867317989434473e-04,0.000000000000000000e+00,2.537776146358439178e+01,9.955851465113807475e-01
5.991403917781421478e+04,nan,3.061841358852077435e-04,1.000000000000000000e+00,2.538560110498202604e+01,9.954817192740981202e-01
5.991403929747681104e+04,nan,3.062971064366916797e-04,1.000000000000000000e+00,2.538283934158426192e+01,9.950904427718678669e-01
5.991403941713941458e+04,1.003940701564937310e+00,3.062034019780910136e-04,0.000000000000000000e+00,2.538333644476072593e+01,9.956477402087156037e-01
5.991403953680201084e+04,1.003896669206417736e+00,3.061494225400411225e-04,0.000000000000000000e+00,2.537974035372991821e+01,9.963578798676560044e-01
5.991403965646461438e+04,1.004400750549681698e+00,3.062311142967398406e-04,0.000000000000000000e+00,2.538334783857278154e+01,9.955952945461490344e-01
5.991403977612721064e+04,1.004361704528272670e+00,3.061938484341392565e-04,0.000000000000000000e+00,2.538378241649650491e+01,9.965807598936973211e-01
5.991403989578981418e+04,1.004139941796784674e+00,3.061887765390618838e-04,0.000000000000000000e+00,2.538435938393737956e+01,9.967423821842243958e-01
5.991404001545241044e+04,1.004761557082214596e+00,3.062546032710006987e-04,0.000000000000000000e+00,2.538289249004000681e+01,9.959890210098155672e-01
5.991404013511500671e+04,1.003718988979916737e+00,3.061425822852314495e-04,0.000000000000000000e+00,2.538203961317435287e+01,9.966034639483242197e-01
5.991404025477761024e+04,1.004423874424162477e+00,3.061792983754281624e-04,0.000000000000000000e+00,2.538881462814093481e+01,9.971819336089507990e-01
5.991404037444020651e+04,1.003881347316849304e+00,3.061327839877404791e-04,0.000000000000000000e+00,2.537985610760419064e+01,9.982555886101885934e-01
5.991404049410281004e+04,1.004918593330399235e+00,3.063186125245523231e-04,0.000000000000000000e+00,2.537809184047143063e+01,9.981131193874543950e-01
5.991404061376540631e+04,1.003741867649835084e+00,3.059569972839001244e-04,0.000000000000000000e+00,2.538290265869487428e+01,9.978591803552020467e-01
5.991404073342800984e+04,1.003738044385966477e+00,3.061804383133526534e-04,0.000000000000000000e+00,2.538337045114305823e+01,9.984933729074959574e-01
5.991404085309060611e+04,1.004667062103634656e+00,3.061903393234293477e-04,0.000000000000000000e+00,2.538541684184572134e+01,9.987048366449717829e-01
5.991404097275320964e+04,1.004183790969674694e+00,3.062096544379631804e-04,0.000000000000000000e+00,2.538016058087398008e+01,9.983818666319171919e-01
5.991404109241580591e+04,1.004783586818063013e+00,3.062635140476015010e-04,0.000000000000000000e+00,2.538800392385428140e+01,9.990045811382127772e-01
5.991404121207840217e+04,1.003998527076032543e+00,3.061944085128220157e-04,0.000000000000000000e+00,2.538561039239203865e+01,9.977253589879141460e-01
5.991404133174100571e+04,1.004356770191286108e+00,3.061495919536553903e-04,0.000000000000000000e+00,2.538011830581001504e+01,9.986509172668180945e-01
5.991404145140360197e+04,1.003972620607947563e+00,3.059879161237329961e-04,0.000000000000000000e+00,2.538406743864613802e+01,9.987103057921378202e-01
5.991404157106620551e+04,1.004316919334922620e+00,3.061956676247171117e-04,0.000000000000000000e+00,2.538685402532616919e+01,9.986240881615257026e-01
5.991404169072880177e+04,1.004761237768294402e+00,3.062102220793453755e-04,0.000000000000000000e+00,2.538648141424147298e+01,9.984559945854705187e-01
5.991404181039140531e+04,1.004218381826259554e+00,3.060186925665609814e-04,0.000000000000000000e+00,2.538177193758754413e+01,9.983628689768362374e-01
5.991404193005399429e+04,1.004253906080178504e+00,3.061728562870714770e-04,0.000000000000000000e+00,2.537789698574035668e+01,9.981756458026346257e-01
5.991404204971659055e+04,1.003882216103161973e+00,3.061687343185185892e-04,0.000000000000000000e+00,2.538815711511200135e+01,9.982784557131814118e-01
5.991404216937919409e+04,1.003597421390714839e+00,3.061178263609737457e-04,0.000000000000000000e+00,2.537908414442404137e+01,9.997285996799095686e-01
5.991404228904179035e+04,1.003875665181129362e+00,3.062000504957253471e-04,0.000000000000000000e+00,2.537379009981422229e+01,1.000265712403280771e+00
5.991404240870439389e+04,1.004020065572817089e+00,3.061982004057643963e-04,0.000000000000000000e+00,2.537713252153991661e+01,9.997384258525563450e-01
5.991404252836699015e+04,1.004152827618607136e+00,3.060447460672890019e-04,0.000000000000000000e+00,2.538122237232544620e+01,9.995497752831559168e-01
5.991404264802959369e+04,1.003811247866460921e+00,3.059657872544137877e-04,0.000000000000000000e+00,2.538591936475982180e+01,9.990182043501339981e-01
5.991404276769218995e+04,1.003605382981308303e+00,3.061416868456502422e-04,0.000000000000000000e+00,2.538227417667116015e+01,9.997389005963919217e-01
5.991404288735478622e+04,1.003899586088005114e+00,3.060424354235942836e-04,0.000000000000000000e+00,2.538343249808339763e+01,1.001387366326287109e+00
5.991404300701738975e+04,1.003549810132719822e+00,3.059581758948105444e-04,0.000000000000000000e+00,2.538358609620652828e+01,1.000609051221442725e+00
5.991404312667998602e+04,1.003251294960803008e+00,3.060619938932243361e-04,0.000000000000000000e+00,2.538265503732906581e+01,1.000351164717938168e+00
5.991404324634258955e+04,1.003042575957163951e+00,3.059563280165723148e-04,0.000000000000000000e+00,2.538176572375246920e+01,1.000190706106673044e+00
5.991404336600518582e+04,1.003411717499657296e+00,3.059806461625311637e-04,0.000000000000000000e+00,2.538282757004609991e+01,1.000475389732794929e+00
5.991404348566778935e+04,1.003133062006199339e+00,3.059319960754910864e-04,0.000000000000000000e+00,2.538100762542909195e+01,1.001395194655153142e+00
5.991404360533038562e+04,1.003160728906294707e+00,3.059738721480718807e-04,0.000000000000000000e+00,2.538487722531680291e+01,1.001149890898270778e+00
