    0  -90    26.00000000
    0  -80    26.28149094
    0  -70    27.14608950
    0  -60    28.65371388
    0  -50    30.89876083
    0  -40    33.98324881
    0  -30    37.92279663
    0  -20    42.39800120
    0  -10    46.34667320
    0    0    48.00000000
    0   10    46.34667320
    0   20    42.39800120
    0   30    37.92279663
    0   40    33.98324881
    0   50    30.89876083
    0   60    28.65371388
    0   70    27.14608950
    0   80    26.28149094
    0   90    26.00000000
   10  -90    26.00000000
   10  -80    26.27590489
   10  -70    27.12223310
   10  -60    28.59386266
   10  -50    30.77508150
   10  -40    33.75055933
   10  -30    37.51201265
   10  -20    41.72725501
   10  -10    45.39141582
   10    0    46.90937551
   10   10    45.39141582
   10   20    41.72725501
   10   30    37.51201265
   10   40    33.75055933
   10   50    30.77508150
   10   60    28.59386266
   10   70    27.12223310
   10   80    26.27590489
   10   90    26.00000000
   20  -90    26.00000000
   20  -80    26.25984038
   20  -70    27.05389102
   20  -60    28.42360043
   20  -50    30.42708910
   20  -40    33.10634778
   20  -30    36.39984734
   20  -20    39.96041550
   20  -10    42.93935236
   20    0    44.14112075
   20   10    42.93935236
   20   20    39.96041550
   20   30    36.39984734
   20   40    33.10634778
   20   50    30.42708910
   20   60    28.42360043
   20   70    27.05389102
   20   80    26.25984038
   20   90    26.00000000
   30  -90    26.00000000
   30  -80    26.23528518
   30  -70    26.95017974
   30  -60    28.16854349
   30  -50    29.91610896
   30  -40    32.18718461
   30  -30    34.87271769
   30  -20    37.64162491
   30  -10    39.85003221
   30    0    40.71306862
   30   10    39.85003221
   30   20    37.64162491
   30   30    34.87271769
   30   40    32.18718461
   30   50    29.91610896
   30   60    28.16854349
   30   70    26.95017974
   30   80    26.23528518
   30   90    26.00000000
   40  -90    26.00000000
   40  -80    26.20525763
   40  -70    26.82457325
   40  -60    27.86485140
   40  -50    29.32310977
   40  -40    31.15776444
   40  -30    33.23820120
   40  -20    35.28199162
   40  -10    36.83884305
   40    0    37.42976604
   40   10    36.83884305
   40   20    35.28199162
   40   30    33.23820120
   40   40    31.15776444
   40   50    29.32310977
   40   60    27.86485140
   40   70    26.82457325
   40   80    26.20525763
   40   90    26.00000000
   50  -90    26.00000000
   50  -80    26.17341595
   50  -70    26.69281578
   50  -60    27.55221798
   50  -50    28.72923383
   50  -40    30.16392885
   50  -30    31.72861056
   50  -20    33.20170249
   50  -10    34.28169022
   50    0    34.68217527
   50   10    34.28169022
