logg	Teff	Z	L/HP	aLSM	bLSM	Type	Mod
[cm/s2]	K	[Sun]	 	 	 	 	
-----	------	----	----	--------	--------	-	--
 5.00	  3200	 0.0	 2.0	  0.1533	  0.4776	q	PC
 5.50	  3200	 0.0	 2.0	  0.1567	  0.4920	q	PC
 5.00	  3300	 0.0	 2.0	  0.1529	  0.4604	q	PC
 5.50	  3300	 0.0	 2.0	  0.1496	  0.4720	q	PC
