epoch,object,sep,sep_err,pa,pa_err
52717.7,1,5460,14,175.33,0.18
53070.9,1,5450,16,175.13,0.21
53274.0,1,5450,14,175.30,0.20
57058.4,1,5398.7,4.5,175.26,0.13
