0 -90 26.000000000
0 -80 26.306457596
0 -70 27.253301539
0 -60 28.925406084
0 -50 31.469333765
0 -40 35.083404640
0 -30 39.935384704
0 -20 45.841486488
0 -10 51.488909487
0 0 54.000000000
0 10 51.488909487
0 20 45.841486488
0 30 39.935384704
0 40 35.083404640
0 50 31.469333765
0 60 28.925406084
0 70 27.253301539
0 80 26.306457596
0 90 26.000000000
10 -90 26.000000000
10 -80 26.305985324
10 -70 27.251264552
10 -60 28.920202082
10 -50 31.458261292
10 -40 35.061623289
10 -30 39.894350937
10 -20 45.768475962
10 -10 51.375386942
10 0 53.865033196
10 10 51.375386942
10 20 45.768475962
10 30 39.894350937
10 40 35.061623289
10 50 31.458261292
10 60 28.920202082
10 70 27.251264552
10 80 26.305985324
10 90 26.000000000
20 -90 26.000000000
20 -80 26.304625613
20 -70 27.245401831
20 -60 28.905233429
20 -50 31.426444534
20 -40 34.999132250
20 -30 39.776901655
20 -20 45.560183088
20 -10 51.052658674
20 0 53.481992392
20 10 51.052658674
20 20 45.560183088
20 30 39.776901655
20 40 34.999132250
20 50 31.426444534
20 60 28.905233429
20 70 27.245401831
20 80 26.304625613
20 90 26.000000000
30 -90 26.000000000
30 -80 26.302542824
30 -70 27.236426956
30 -60 28.882345137
30 -50 31.377885141
30 -40 34.904035230
30 -30 39.598954039
30 -20 45.246504563
30 -10 50.569797390
30 0 52.910671613
30 10 50.569797390
30 20 45.246504563
30 30 39.598954039
30 40 34.904035230
30 50 31.377885141
30 60 28.882345137
30 70 27.236426956
30 80 26.302542824
30 90 26.000000000
40 -90 26.000000000
40 -80 26.299988581
40 -70 27.225429746
40 -60 28.854342607
40 -50 31.318624523
40 -40 34.788433335
40 -30 39.383896289
40 -20 44.870426884
40 -10 49.995780663
40 0 52.234229609
40 10 49.995780663
40 20 44.870426884
40 30 39.383896289
40 40 34.788433335
40 50 31.318624523
40 60 28.854342607
40 70 27.225429746
40 80 26.299988581
40 90 26.000000000
50 -90 26.000000000
50 -80 26.297271229
50 -70 27.213741377
50 -60 28.824632212
50 -50 31.255928004
50 -40 34.666665185
50 -30 39.158841485
50 -20 44.480335894
50 -10 49.405892793
50 0 51.542123583
50 10 49.405892793
50 20 44.480335894
50 30 39.158841485
50 40 34.666665185
50 50 31.255928004
50 60 28.824632212
50 70 27.213741377
50 80 26.297271229
50 90 26.000000000
60 -90 26.000000000
60 -80 26.294718521
60 -70 27.202771612
60 -60 28.796797050
60 -50 31.197354406
60 -40 34.553398171
60 -30 38.950837560
60 -20 44.122891909
60 -10 48.870191727
60 0 50.916214332
60 10 48.870191727
60 20 44.122891909
60 30 38.950837560
60 40 34.553398171
60 50 31.197354406
60 60 28.796797050
60 70 27.202771612
60 80 26.294718521
60 90 26.000000000
70 -90 26.000000000
70 -80 26.292638085
70 -70 27.193838786
70 -60 28.774165185
70 -50 31.149847646
70 -40 34.461878989
70 -30 38.783701811
70 -20 43.837791196
70 -10 48.446145016
70 0 50.422500185
70 10 48.446145016
70 20 43.837791196
70 30 38.783701811
70 40 34.461878989
70 50 31.149847646
70 60 28.774165185
70 70 27.193838786
70 80 26.292638085
70 90 26.000000000
80 -90 26.000000000
80 -80 26.291280442
80 -70 27.188013042
80 -60 28.759422032
80 -50 31.118956615
80 -40 34.402534840
80 -30 38.675765110
80 -20 43.654658616
80 -10 48.175249356
80 0 50.107892243
80 10 48.175249356
80 20 43.654658616
80 30 38.675765110
80 40 34.402534840
80 50 31.118956615
80 60 28.759422032
80 70 27.188013042
80 80 26.291280442
80 90 26.000000000
90 -90 26.000000000
90 -80 26.290808987
90 -70 27.185990659
90 -60 28.754307088
90 -50 31.108249754
90 -40 34.381996446
90 -30 38.638489388
90 -20 43.591592254
90 -10 48.082226047
90 0 50.000000000
90 10 48.082226047
90 20 43.591592254
90 30 38.638489388
90 40 34.381996446
90 50 31.108249754
90 60 28.754307088
90 70 27.185990659
90 80 26.290808987
90 90 26.000000000
100 -90 26.000000000
100 -80 26.291280442
100 -70 27.188013042
100 -60 28.759422032
100 -50 31.118956615
100 -40 34.402534840
100 -30 38.675765110
100 -20 43.654658616
100 -10 48.175249356
100 0 50.107892243
100 10 48.175249356
100 20 43.654658616
100 30 38.675765110
100 40 34.402534840
100 50 31.118956615
100 60 28.759422032
100 70 27.188013042
100 80 26.291280442
100 90 26.000000000
110 -90 26.000000000
110 -80 26.292638085
110 -70 27.193838786
110 -60 28.774165185
110 -50 31.149847646
110 -40 34.461878989
110 -30 38.783701811
110 -20 43.837791196
110 -10 48.446145016
110 0 50.422500185
110 10 48.446145016
110 20 43.837791196
110 30 38.783701811
110 40 34.461878989
110 50 31.149847646
110 60 28.774165185
110 70 27.193838786
110 80 26.292638085
110 90 26.000000000
120 -90 26.000000000
120 -80 26.294718521
120 -70 27.202771612
120 -60 28.796797050
120 -50 31.197354406
