Wavelength,Flux (Jy),Error (Jy)
3.913320889319186,-2.6061976492420916e-05,2.033704305957317e-05
3.918326038537899,-2.746373756422418e-05,2.101541935977752e-05
3.923331187756612,-2.8369702087266812e-05,2.127825702774454e-05
3.9283363369753252,-3.024756808126262e-05,2.2388053002000707e-05
3.933341486194039,-2.9839788114323182e-05,2.2430511890944343e-05
3.938346635412752,-2.959709919177394e-05,2.2859054548313114e-05
3.943351784631465,-2.9298250113896123e-05,2.2895134055113103e-05
3.9483569338501785,-2.9666284409737105e-05,2.3580579253508543e-05
3.9533620830688916,-3.0336588615344727e-05,2.3796419980698128e-05
3.9583672322876047,-3.2461619424316154e-05,2.5538464990819685e-05
3.9633723815063178,-3.329822941220882e-05,2.5789900213059142e-05
3.9683775307250313,-3.499976583616106e-05,2.729188025030996e-05
3.9733826799437444,-3.5342476096106036e-05,2.749887481432473e-05
3.9783878291624575,-3.704496352141589e-05,2.9141577333872076e-05
3.983392978381171,-3.7894534045215866e-05,2.9471405629502443e-05
3.988398127599884,-3.980949755241601e-05,3.073818288218929e-05
3.993403276818597,-4.039174535385415e-05,3.098610571904775e-05
3.9984084260373103,-4.1966161178704116e-05,3.201058926402502e-05
4.003413575256023,-4.190047271459338e-05,3.202537109750432e-05
4.008418724474737,-4.1190888355163286e-05,3.1752901299127735e-05
4.0134238736934496,-4.1306957997223034e-05,3.174447311667447e-05
4.018429022912163,-4.079555625413775e-05,3.182447429906066e-05
4.023434172130877,-4.083747218551829e-05,3.217841629715153e-05
4.028439321349589,-4.1215586432827996e-05,3.2903557793524084e-05
4.033444470568303,-4.012404550364931e-05,3.2442818323904284e-05
4.038449619787016,-3.952675552572989e-05,3.1575205720763675e-05
4.043454769005729,-3.606520441157806e-05,2.9048487606616634e-05
4.0484599182244425,-3.341230147878783e-05,2.5512460978555474e-05
4.053465067443156,-3.1238942881002565e-05,2.4615658080203612e-05
4.058470216661869,-2.9013682183628083e-05,2.404793798046454e-05
4.063475365880582,-3.460114110613489e-05,2.8256419887558833e-05
4.068480515099296,-3.663794031363585e-05,3.1408031915015784e-05
4.073485664318008,-4.586107855638904e-05,3.652674190789533e-05
4.078490813536722,-4.8431870700985945e-05,3.8906636965727535e-05
4.083495962755435,-5.1707403130705695e-05,4.093940198050809e-05
4.088501111974148,-5.158307623837593e-05,4.1578390120100064e-05
4.093506261192862,-5.002189989586093e-05,4.107638125056759e-05
4.098511410411574,-4.8659681269253314e-05,4.0978323568250555e-05
4.103516559630288,-4.805018612105979e-05,4.005218912396511e-05
4.108521708849001,-4.508451060403155e-05,3.971434064445668e-05
4.113526858067714,-4.229097547993498e-05,3.741544718651592e-05
4.1185320072864275,-4.519657900800446e-05,3.6965003706243004e-05
4.123537156505141,-4.375505971939473e-05,3.455524423429279e-05
4.128542305723854,-4.3924265265659605e-05,3.3880292349313704e-05
4.133547454942567,-4.126659562081119e-05,3.2196914152175136e-05
4.138552604161281,-4.079580123287212e-05,3.243046590166956e-05
4.143557753379993,-4.13337189494577e-05,3.2954419268270475e-05
4.148562902598707,-4.311436809788682e-05,3.4278952313156155e-05
4.15356805181742,-4.5591885789119826e-05,3.579191979398629e-05
4.158573201036133,-4.868278483903974e-05,3.735528104172556e-05
4.163578350254847,-4.7342969240388586e-05,3.845519961944248e-05
