epoch,object,raoff,raoff_err,decoff,decoff_err,radec_corr
59221.312,1,415.613,0.107,-708.133,0.073,-0.095
59602.271,1,416.269,0.035,-705.051,0.035,-0.224
60071.208,1,416.980,0.281,-701.373,0.248,0.954
