asteroid_number,prov_desig,comet_desig,mpc_packed_name,absolute_mag,slope_param,mean_jd,n_w1,n_w2,n_w3,n_w4,fit_code,diameter,diameter_err,v_albedo,v_albedo_err,ir_albedo,ir_albedo_err,beaming_param,beaming_param_err,stacked_flag,reference,notes,reference2,type,cntr
1140,,,01140,10.2800,0.1500,2455411.0559415,11,11,11,11,DVBI,29.1790,0.1550,0.1600,0.0230,0.4480,0.0500,0.9080,0.0030,,Mas14,,MASIEROETAL2014,mainbelt,3940
1140,,,01140,10.2800,0.1500,2455241.5338965,11,11,11,11,DVBI,28.5150,0.4940,0.1680,0.0270,0.4740,0.0570,0.8420,0.0180,,Mas14,,MASIEROETAL2014,mainbelt,3941
