epoch,object,quant1,quant1_err,quant2,quant2_err,quant12_corr,quant_type
59454.125,2,-76.544,0.119,-82.656,0.133,-0.643,radec
59485.11,2,-72.11,0.075,-85.323,0.133,-0.85,radec
59504.061,2,-69.305,0.057,-86.726,0.068,-0.528,radec
59721.403,2,-32.352,0.275,-93.497,0.178,-0.875,radec
