# sma [arcsec]    period [yrs]    orbit phase    t_0 [yr]    ecc    incl [deg]        argp [deg]   lan [deg]    m_tot [Msun]    dist [pc]    chi^2    ln(prob)    ln(randn)
7.979319726470594   1952.3843385444407   0.264401700870736   1499.786260135463   0.7133376761043542   87.28436549215344   204.80822015747486   244.25209047631816   1.0290125734576472   19.764442560777166   3.4595366988461365   -1.7013137095153257   -2.0662608160113445
13.679208845342671   4405.663269232085   0.5870783673156454   -570.4695990432816   0.3130022138424281   88.56015735122197   113.04729260717825   -113.97008341931374   1.016770355705692   19.755476624877513   0.9751874577742888   -0.4591390889794018   -4.015608511980574
11.686401486359477   3486.8340903514086   0.5257094824909372   182.9382548296033   0.3196831127323335   88.42610526650908   132.95039589705434   -114.23460281870692   1.0124050458393332   19.757173795649813   2.5240745553204835   -1.2335826377524992   -1.8843868964203478
7.185284507392813   1722.9471528120323   0.25813355981757535   1571.2495180670742   0.9292366423533625   84.58709702325714   21.243261170443027   63.24299459801049   0.9639246386832988   19.75839647778328   1.289985794862489   -0.6165382575235019   -1.7960240768874591
7.423692889968817   1777.1426861381308   0.3469551189675504   1399.4112479086327   0.8039385053644493   86.78553525410904   166.48743939263116   -114.21832983171186   0.9996475538000504   19.761072170026132   0.5966652008190525   -0.26987796050178364   -0.8011533246641857
16.308543828213665   5769.27629139699   0.6406140051195957   -1679.8791916733533   0.3052242455229154   88.6232576081816   275.2217377037168   66.34470281928941   1.0057600308500676   19.76198192348569   0.7322105509087405   -0.33765063554662766   -1.107510321425451
14.522181604241391   4843.050507047928   0.7543197859185883   -1637.2088216693032   0.13255067167984247   88.62746183156192   244.50689355003337   65.46007023497225   1.007225227821636   19.75860747884875   1.166223884788906   -0.5546573024867103   -0.6135794003399769
82.48922698671011   65370.88615163787   0.10602512932237718   -4914.9566581458   0.4294644763314547   89.37310530834033   16.134724708258624   67.82393442317772   1.013514456689851   19.760700243401928   0.5924599890816885   -0.26777535463310165   -0.48879181879821954
6.458067120335265   1447.7441134549908   0.2986878134291211   1583.5764763472473   0.9826159887592076   79.28217436821765   0.16478211333449178   65.00404341885971   0.992281773053454   19.76531114578499   3.111900334708365   -1.52749552744644   -2.0945762131888155
7.673209867547054   1885.2204554388804   0.2502245584701266   1544.271543918955   0.9977910788779928   60.647917748607384   32.915279291507126   47.795082632803116   0.9815119198881828   19.76497237695289   1.073973323183964   -0.5085320216842395   -3.090585884138326
6.564826201648003   1503.73416707034   0.28631945906542633   1585.4516467062208   0.9914081916668546   74.13928516594532   10.13528083598004   62.32216730417169   0.9668935004753715   19.77047145197569   1.2441963054397616   -0.5936435128121382   -1.168162238809704
20.20975512879978   7951.7632519228955   0.3266283666001458   -581.2714425666393   0.602133109962151   88.58587448374938   313.435424250483   67.71233202093978   1.0081945496473668   19.766480934090026   1.1247195972102029   -0.5339051586973589   -1.5413975340406647
12.954868237994079   4084.738007953256   0.5992340087955336   -431.7139313853116   0.05554176229922381   88.5389103092228   115.38072826677491   -114.72427107441902   1.0055185277518535   19.76088981317667   1.0296901995969283   -0.48639045989072155   -2.2205105024280742
10.553163521789479   3009.527699492408   0.15508028766694026   1549.2815786210924   0.8992831664813439   86.61220690008201   48.95630269163981   62.465598721197836   1.0025799460709255   19.769206300039777   7.66957207794586   -3.8063313990651872   -3.8194604881126915
10.772803086905553   3107.3222941389918   0.3507686691294605   926.0486943285639   0.7736352543442978   87.59534462508566   320.9251689412508   67.24948021266223   0.9981777267255131   19.754442179185702   3.6219672750294603   -1.7825289976069876   -2.9267291398918025
36.01106608217775   19277.330366925635   0.4538035990118059   -6732.12189985043   0.16805391558423588   89.13085523849867   297.8872959901386   67.40993347822197   0.97174382686929   19.774820274160938   1.7875532425776424   -0.8653219813810786   -1.9862079203567147
49.30054050516952   30396.664885398368   0.048358914666692954   546.0502766549582   0.949755737780061   87.66044943942744   317.9878836512168   70.38468081380971   1.001727901077125   19.767368867159373   1.6911311390129184   -0.8171109295987167   -1.9163423230745802
12.244784883908665   3805.082689255889   0.23175877051739147   1134.1387142210456   0.9303453468457223   85.86462005800007   317.8142142013222   69.84649603697926   0.9790691303983663   19.764963895517457   1.4359650071614598   -0.6895278636729874   -4.755115525453389
12.99803184689502   4102.270176116045   0.5813329665084848   -368.78489090082473   0.0238125087585791   88.50682362376084   121.58370541756688   -114.7743987866022   1.0080483632388981   19.76813504830234   3.8811111044637583   -1.9121009123241366   -2.730462487989937
37.26018722850635   20032.97200152092   0.29455749255135266   -3884.862001119455   0.3390128114043951   89.10421908427894   327.24724766919525   67.6794319384041   0.995817695387002   19.76871784917131   3.379989361801628   -1.6615400409930714   -2.242246716659925
8.685026658084626   2267.803785031942   0.2274992097371139   1500.0764310663974   0.9991998894054539   37.36736911605185   71.6609729423375   -1.6677408086092385   0.984242598739064   19.769690966493762   1.2787087917653281   -0.6108997559749214   -2.246178071697226
9.975861050841438   2741.401413549656   0.43313491602458976   828.6033289524781   0.3410792991290499   88.27185496361871   342.68553467916746   65.34615499493344   1.0197580011569678   19.763494505757542   1.9678164394671618   -0.9554535798258383   -1.4274106661712118
14.915977807983246   5118.986218631287   0.18098933326481814   1089.518097298131   0.9481619287540639   85.69482696853478   135.10108749575807   -109.09160712815239   0.9774785601985194   19.76241394563557   1.208281886917821   -0.5756863035511679   -1.1111527769015588
