107285600  36.97 131.16   5.12 117.79   163661. 119.28   434.4   404.9
107289100  37.03 161.34   5.11 147.94   146698. 119.29   429.6   392.7
107292745  37.10 192.83   5.11 179.39   129009. 119.31   416.3   401.4
107296100  37.20 221.74   5.10 208.24   112774. 119.32   433.6   390.4
107299600  37.33 251.96   5.09 238.39    95813. 119.35   429.9   408.0
107303245  37.53 283.52   5.08 269.84    78125. 119.38   411.7   408.5
107306600  37.81 312.53   5.08 298.69    61893. 119.43   419.9   405.0
107310100  38.32 342.97   5.07 328.84    44937. 119.54   434.3   412.0
107313826  39.58  15.78   5.06   0.94    26898. 120.07   734.4    95.2
107315039  40.45  25.76   5.06  10.40    21026. 120.32   234.6    41.9
107316065  41.67  36.37   5.06  20.26    16060. 120.43   387.0   405.4
107316078  41.70  36.51   5.06  20.38    15991. 120.43   393.5   405.0
107316100  41.72  36.65   5.06  20.50    15922. 120.44   391.7   403.7
107316113  41.74  36.78   5.06  20.63    15853. 120.44   389.0   406.3
107318313  52.01  63.69   5.05  39.58     5355. 125.42   843.6   443.0
107318326  52.20  64.00   5.05  39.70     5288. 125.55   117.4   436.0
